# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_dEta_HH_res_C1e
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_dEta_HH_res_C1e
Title=dEta_HH_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	1.122366e+06	2.772080e+04	2.772080e+04
1.666667e-01	3.333333e-01	1.069852e+06	2.728636e+04	2.728636e+04
3.333333e-01	5.000000e-01	1.151776e+06	2.807030e+04	2.807030e+04
5.000000e-01	6.666667e-01	1.032245e+06	2.655433e+04	2.655433e+04
6.666667e-01	8.333333e-01	1.044461e+06	2.670814e+04	2.670814e+04
8.333333e-01	1.000000e+00	1.001400e+06	2.620652e+04	2.620652e+04
1.000000e+00	1.166667e+00	9.548884e+05	2.552396e+04	2.552396e+04
1.166667e+00	1.333333e+00	8.989305e+05	2.476664e+04	2.476664e+04
1.333333e+00	1.500000e+00	8.242267e+05	2.377162e+04	2.377162e+04
1.500000e+00	1.666667e+00	8.536137e+05	2.417063e+04	2.417063e+04
1.666667e+00	1.833333e+00	7.732239e+05	2.304204e+04	2.304204e+04
1.833333e+00	2.000000e+00	7.171589e+05	2.211112e+04	2.211112e+04
2.000000e+00	2.166667e+00	7.234165e+05	2.225056e+04	2.225056e+04
2.166667e+00	2.333333e+00	6.648137e+05	2.131006e+04	2.131006e+04
2.333333e+00	2.500000e+00	6.009500e+05	2.035791e+04	2.035791e+04
# END HISTOGRAM

