# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_m_H1_inter_C2
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_m_H1_inter_C2
Title=m_H1_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	1.208492e+00	9.791698e-01	9.791698e-01
9.000000e+01	9.600000e+01	5.207039e-01	1.969988e-01	1.969988e-01
9.600000e+01	1.020000e+02	4.044250e-01	1.977597e-01	1.977597e-01
1.020000e+02	1.080000e+02	2.593685e-01	1.378621e-01	1.378621e-01
1.080000e+02	1.140000e+02	2.857778e-01	1.464310e-01	1.464310e-01
1.140000e+02	1.200000e+02	8.003789e+00	7.756106e+00	7.756106e+00
1.200000e+02	1.260000e+02	1.392365e+00	9.869460e-01	9.869460e-01
1.260000e+02	1.320000e+02	6.248940e-01	2.303817e-01	2.303817e-01
1.320000e+02	1.380000e+02	2.631372e-01	1.383574e-01	1.383574e-01
1.380000e+02	1.440000e+02	3.862495e-01	1.702040e-01	1.702040e-01
1.440000e+02	1.500000e+02	4.419568e-01	1.858943e-01	1.858943e-01
1.500000e+02	1.560000e+02	1.276078e+00	9.820943e-01	9.820943e-01
1.560000e+02	1.620000e+02	8.263506e+00	7.758234e+00	7.758234e+00
1.620000e+02	1.680000e+02	1.000739e+00	9.695157e-01	9.695157e-01
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

