# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_pt_H1_inter_C1d
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_pt_H1_inter_C1d
Title=pt_H1_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	7.194977e+01	1.650641e+01	1.650641e+01
3.000000e+01	6.000000e+01	1.779810e+02	2.596120e+01	2.596120e+01
6.000000e+01	9.000000e+01	2.350419e+03	9.533792e+01	9.533792e+01
9.000000e+01	1.200000e+02	8.790193e+03	1.849248e+02	1.849248e+02
1.200000e+02	1.500000e+02	1.344417e+04	2.284910e+02	2.284910e+02
1.500000e+02	1.800000e+02	1.693500e+04	2.549305e+02	2.549305e+02
1.800000e+02	2.100000e+02	2.618676e+04	3.203206e+02	3.203206e+02
2.100000e+02	2.400000e+02	2.714292e+04	3.257564e+02	3.257564e+02
2.400000e+02	2.700000e+02	1.277097e+04	2.238878e+02	2.238878e+02
2.700000e+02	3.000000e+02	5.880096e+03	1.520531e+02	1.520531e+02
3.000000e+02	3.300000e+02	3.079727e+03	1.113376e+02	1.113376e+02
3.300000e+02	3.600000e+02	1.664289e+03	8.277792e+01	8.277792e+01
3.600000e+02	3.900000e+02	8.602396e+02	5.709873e+01	5.709873e+01
3.900000e+02	4.200000e+02	4.582065e+02	4.165513e+01	4.165513e+01
4.200000e+02	4.500000e+02	3.078876e+02	3.422896e+01	3.422896e+01
4.500000e+02	4.800000e+02	2.120231e+02	3.031708e+01	3.031708e+01
4.800000e+02	5.100000e+02	1.249654e+02	2.175368e+01	2.175368e+01
5.100000e+02	5.400000e+02	8.709710e+01	1.816100e+01	1.816100e+01
5.400000e+02	5.700000e+02	5.680245e+01	1.466633e+01	1.466633e+01
5.700000e+02	6.000000e+02	3.786830e+01	1.197501e+01	1.197501e+01
6.000000e+02	6.300000e+02	4.922879e+01	1.365361e+01	1.365361e+01
6.300000e+02	6.600000e+02	2.272098e+01	9.275802e+00	9.275802e+00
6.600000e+02	6.900000e+02	1.514732e+01	7.573660e+00	7.573660e+00
6.900000e+02	7.200000e+02	1.136049e+01	6.558982e+00	6.558982e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	3.786830e+00	3.786830e+00	3.786830e+00
7.800000e+02	8.100000e+02	3.786830e+00	3.786830e+00	3.786830e+00
8.100000e+02	8.400000e+02	1.136049e+01	6.558982e+00	6.558982e+00
8.400000e+02	8.700000e+02	7.573660e+00	5.355387e+00	5.355387e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

