# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_pt_H1_inter_C2
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_pt_H1_inter_C2
Title=pt_H1_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	7.399466e-04	4.198247e-04	4.198247e-04
3.000000e+01	6.000000e+01	6.622522e-03	3.487183e-03	3.487183e-03
6.000000e+01	9.000000e+01	1.057310e-02	4.291811e-03	4.291811e-03
9.000000e+01	1.200000e+02	6.143011e-02	3.447323e-02	3.447323e-02
1.200000e+02	1.500000e+02	1.643018e+00	1.551493e+00	1.551493e+00
1.500000e+02	1.800000e+02	2.128008e-01	5.916003e-02	5.916003e-02
1.800000e+02	2.100000e+02	3.729477e-01	1.997877e-01	1.997877e-01
2.100000e+02	2.400000e+02	4.086153e-01	2.022317e-01	2.022317e-01
2.400000e+02	2.700000e+02	9.649923e-02	4.158826e-02	4.158826e-02
2.700000e+02	3.000000e+02	2.185021e-01	1.948695e-01	1.948695e-01
3.000000e+02	3.300000e+02	2.659870e-02	1.970352e-02	1.970352e-02
3.300000e+02	3.600000e+02	3.299696e-02	2.460374e-02	2.460374e-02
3.600000e+02	3.900000e+02	1.947159e-01	1.938863e-01	1.938863e-01
3.900000e+02	4.200000e+02	4.912276e-04	3.427717e-04	3.427717e-04
4.200000e+02	4.500000e+02	7.301009e-04	4.197858e-04	4.197858e-04
4.500000e+02	4.800000e+02	2.756812e-04	2.442620e-04	2.442620e-04
4.800000e+02	5.100000e+02	3.029464e-06	3.029464e-06	3.029464e-06
5.100000e+02	5.400000e+02	2.423950e-04	2.423571e-04	2.423571e-04
5.400000e+02	5.700000e+02	3.067333e-06	3.029701e-06	3.029701e-06
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	5.150089e-04	3.440810e-04	3.440810e-04
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	3.786830e-08	3.786830e-08	3.786830e-08
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

