# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_tau21_fj2_boost_C2
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_tau21_fj2_boost_C2
Title=tau21_fj2_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	3.489943e+00	2.245697e+00	2.245697e+00
3.333333e-02	6.666667e-02	2.168127e+01	1.759846e+01	1.759846e+01
6.666667e-02	1.000000e-01	6.377874e+00	2.379838e+00	2.379838e+00
1.000000e-01	1.333333e-01	1.406859e+03	1.395983e+03	1.395983e+03
1.333333e-01	1.666667e-01	2.781934e+01	1.787671e+01	1.787671e+01
1.666667e-01	2.000000e-01	4.473718e+01	2.795371e+01	2.795371e+01
2.000000e-01	2.333333e-01	4.764773e+01	2.804473e+01	2.804473e+01
2.333333e-01	2.666667e-01	3.024660e+02	1.822603e+02	1.822603e+02
2.666667e-01	3.000000e-01	4.310199e+01	2.488597e+01	2.488597e+01
3.000000e-01	3.333333e-01	1.190374e+01	3.924288e+00	3.924288e+00
3.333333e-01	3.666667e-01	4.376664e+01	1.867554e+01	1.867554e+01
3.666667e-01	4.000000e-01	7.154676e+01	3.324304e+01	3.324304e+01
4.000000e-01	4.333333e-01	2.188009e+02	1.762636e+02	1.762636e+02
4.333333e-01	4.666667e-01	2.678173e+01	1.774987e+01	1.774987e+01
4.666667e-01	5.000000e-01	2.563932e+01	1.774312e+01	1.774312e+01
5.000000e-01	5.333333e-01	6.305437e+01	3.302118e+01	3.302118e+01
5.333333e-01	5.666667e-01	4.970986e+01	2.759272e+01	2.759272e+01
5.666667e-01	6.000000e-01	1.256437e+01	4.457342e+00	4.457342e+00
6.000000e-01	6.333333e-01	1.443269e+03	1.396320e+03	1.396320e+03
6.333333e-01	6.666667e-01	2.154177e+01	1.760019e+01	1.760019e+01
6.666667e-01	7.000000e-01	2.190215e+01	1.759982e+01	1.759982e+01
7.000000e-01	7.333333e-01	1.172437e+00	5.151604e-01	5.151604e-01
7.333333e-01	7.666667e-01	4.448655e-01	3.085066e-01	3.085066e-01
7.666667e-01	8.000000e-01	2.208820e-01	2.181385e-01	2.181385e-01
8.000000e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.666667e-01	2.181248e+00	2.181214e+00	2.181214e+00
8.666667e-01	9.000000e-01	4.362428e-01	3.084703e-01	3.084703e-01
9.000000e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

