# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4b/histo_Categories_C2
Path=/res/oxford_combined_rw2/SHERPA_QCD4b/histo_Categories_C2
Title=Categories_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.779329e+06	1.047908e+03	1.047908e+03
1.000000e+00	2.000000e+00	2.920498e+01	2.606012e+00	2.606012e+00
2.000000e+00	3.000000e+00	3.487571e+01	2.875279e+00	2.875279e+00
3.000000e+00	4.000000e+00	9.751861e+00	9.832887e-01	9.832887e-01
4.000000e+00	5.000000e+00	6.623004e+00	8.110438e-01	8.110438e-01
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

