# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4b/histo_eta_smallR_boost_C1e
Path=/res/oxford_combined_rw2/SHERPA_QCD4b/histo_eta_smallR_boost_C1e
Title=eta_smallR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.636155e+01	4.933192e+00	4.933192e+00
-2.400000e+00	-2.000000e+00	1.829518e+02	1.649621e+01	1.649621e+01
-2.000000e+00	-1.600000e+00	4.402743e+02	2.559043e+01	2.559043e+01
-1.600000e+00	-1.200000e+00	6.559493e+02	3.123568e+01	3.123568e+01
-1.200000e+00	-8.000000e-01	9.192214e+02	3.697651e+01	3.697651e+01
-8.000000e-01	-4.000000e-01	1.059038e+03	3.968914e+01	3.968914e+01
-4.000000e-01	7.771561e-16	1.145308e+03	4.127404e+01	4.127404e+01
7.771561e-16	4.000000e-01	1.148283e+03	4.132761e+01	4.132761e+01
4.000000e-01	8.000000e-01	1.087299e+03	4.021521e+01	4.021521e+01
8.000000e-01	1.200000e+00	9.876424e+02	3.832796e+01	3.832796e+01
1.200000e+00	1.600000e+00	7.362696e+02	3.309286e+01	3.309286e+01
1.600000e+00	2.000000e+00	4.521736e+02	2.593394e+01	2.593394e+01
2.000000e+00	2.400000e+00	1.844392e+02	1.656313e+01	1.656313e+01
2.400000e+00	2.800000e+00	2.677344e+01	6.310560e+00	6.310560e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

