# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4j/histo_eta_smallR_res_C1a
Path=/res/oxford_combined_rw2/SHERPA_QCD4j/histo_eta_smallR_res_C1a
Title=eta_smallR_res_C1a
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	2.140324e+09	3.087957e+06	3.087957e+06
-5.600000e+00	-5.200000e+00	2.612451e+09	3.433230e+06	3.433230e+06
-5.200000e+00	-4.800000e+00	3.162007e+09	3.759364e+06	3.759364e+06
-4.800000e+00	-4.400000e+00	3.791652e+09	4.119647e+06	4.119647e+06
-4.400000e+00	-4.000000e+00	4.488076e+09	4.491762e+06	4.491762e+06
-4.000000e+00	-3.600000e+00	5.319339e+09	4.892276e+06	4.892276e+06
-3.600000e+00	-3.200000e+00	6.377978e+09	5.360201e+06	5.360201e+06
-3.200000e+00	-2.800000e+00	8.092955e+09	6.067689e+06	6.067689e+06
-2.800000e+00	-2.400000e+00	1.023828e+10	6.812228e+06	6.812228e+06
-2.400000e+00	-2.000000e+00	1.206657e+10	7.364619e+06	7.364619e+06
-2.000000e+00	-1.600000e+00	1.368704e+10	7.812445e+06	7.812445e+06
-1.600000e+00	-1.200000e+00	1.498958e+10	8.138638e+06	8.138638e+06
-1.200000e+00	-8.000000e-01	1.600253e+10	8.369179e+06	8.369179e+06
-8.000000e-01	-4.000000e-01	1.669422e+10	8.520261e+06	8.520261e+06
-4.000000e-01	7.771561e-16	1.704015e+10	8.622069e+06	8.622069e+06
7.771561e-16	4.000000e-01	1.703070e+10	8.603086e+06	8.603086e+06
4.000000e-01	8.000000e-01	1.670045e+10	8.536140e+06	8.536140e+06
8.000000e-01	1.200000e+00	1.604289e+10	8.373787e+06	8.373787e+06
1.200000e+00	1.600000e+00	1.502605e+10	8.134881e+06	8.134881e+06
1.600000e+00	2.000000e+00	1.370197e+10	7.798246e+06	7.798246e+06
2.000000e+00	2.400000e+00	1.213564e+10	7.413806e+06	7.413806e+06
2.400000e+00	2.800000e+00	1.027693e+10	6.870882e+06	6.870882e+06
2.800000e+00	3.200000e+00	8.123494e+09	6.096225e+06	6.096225e+06
3.200000e+00	3.600000e+00	6.407237e+09	5.401741e+06	5.401741e+06
3.600000e+00	4.000000e+00	5.321727e+09	4.880048e+06	4.880048e+06
4.000000e+00	4.400000e+00	4.502179e+09	4.489730e+06	4.489730e+06
4.400000e+00	4.800000e+00	3.795665e+09	4.131510e+06	4.131510e+06
4.800000e+00	5.200000e+00	3.174328e+09	3.761132e+06	3.761132e+06
5.200000e+00	5.600000e+00	2.610240e+09	3.417205e+06	3.417205e+06
5.600000e+00	6.000000e+00	2.141799e+09	3.085329e+06	3.085329e+06
# END HISTOGRAM

