# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4j/histo_pt_H1_boost_C1e
Path=/res/oxford_combined_rw2/SHERPA_QCD4j/histo_pt_H1_boost_C1e
Title=pt_H1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	7.929852e+03	6.474697e+02	6.474697e+02
2.100000e+02	2.400000e+02	2.622138e+04	1.177375e+03	1.177375e+03
2.400000e+02	2.700000e+02	2.442394e+04	1.136305e+03	1.136305e+03
2.700000e+02	3.000000e+02	1.924311e+04	1.008613e+03	1.008613e+03
3.000000e+02	3.300000e+02	1.511958e+04	8.940397e+02	8.940397e+02
3.300000e+02	3.600000e+02	1.025594e+04	7.363337e+02	7.363337e+02
3.600000e+02	3.900000e+02	6.445996e+03	5.880485e+02	5.880485e+02
3.900000e+02	4.200000e+02	5.127971e+03	5.206665e+02	5.206665e+02
4.200000e+02	4.500000e+02	2.537553e+03	3.662642e+02	3.662642e+02
4.500000e+02	4.800000e+02	1.585970e+03	2.895572e+02	2.895572e+02
4.800000e+02	5.100000e+02	1.480239e+03	2.797389e+02	2.797389e+02
5.100000e+02	5.400000e+02	8.987165e+02	2.179708e+02	2.179708e+02
5.400000e+02	5.700000e+02	5.286568e+02	1.671760e+02	1.671760e+02
5.700000e+02	6.000000e+02	4.757911e+02	1.585970e+02	1.585970e+02
6.000000e+02	6.300000e+02	3.700597e+02	1.398694e+02	1.398694e+02
6.300000e+02	6.600000e+02	1.057314e+02	7.476336e+01	7.476336e+01
6.600000e+02	6.900000e+02	1.057314e+02	7.476336e+01	7.476336e+01
6.900000e+02	7.200000e+02	1.585970e+02	9.156604e+01	9.156604e+01
7.200000e+02	7.500000e+02	1.057314e+02	7.476336e+01	7.476336e+01
7.500000e+02	7.800000e+02	5.286568e+01	5.286568e+01	5.286568e+01
7.800000e+02	8.100000e+02	1.057314e+02	7.476336e+01	7.476336e+01
8.100000e+02	8.400000e+02	5.286568e+01	5.286568e+01	5.286568e+01
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

