# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4j/histo_pt_H1_res_C1e
Path=/res/oxford_combined_rw2/SHERPA_QCD4j/histo_pt_H1_res_C1e
Title=pt_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.604804e+05	4.386683e+03	4.386683e+03
3.000000e+01	6.000000e+01	4.110530e+05	4.768071e+03	4.768071e+03
6.000000e+01	9.000000e+01	2.597598e+05	3.734339e+03	3.734339e+03
9.000000e+01	1.200000e+02	1.579157e+05	2.901071e+03	2.901071e+03
1.200000e+02	1.500000e+02	8.299176e+04	2.099111e+03	2.099111e+03
1.500000e+02	1.800000e+02	4.340920e+04	1.515001e+03	1.515001e+03
1.800000e+02	2.100000e+02	2.523087e+04	1.158379e+03	1.158379e+03
2.100000e+02	2.400000e+02	1.353361e+04	8.458508e+02	8.458508e+02
2.400000e+02	2.700000e+02	8.881434e+03	6.852175e+02	6.852175e+02
2.700000e+02	3.000000e+02	5.550896e+03	5.417120e+02	5.417120e+02
3.000000e+02	3.300000e+02	2.854747e+03	3.884818e+02	3.884818e+02
3.300000e+02	3.600000e+02	2.928350e+03	4.051144e+02	4.051144e+02
3.600000e+02	3.900000e+02	1.427373e+03	2.746981e+02	2.746981e+02
3.900000e+02	4.200000e+02	1.163045e+03	2.479620e+02	2.479620e+02
4.200000e+02	4.500000e+02	6.872538e+02	1.906099e+02	1.906099e+02
4.500000e+02	4.800000e+02	5.815225e+02	1.753356e+02	1.753356e+02
4.800000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e+02	5.400000e+02	2.114627e+02	1.057314e+02	1.057314e+02
5.400000e+02	5.700000e+02	5.286568e+01	5.286568e+01	5.286568e+01
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

