# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCDttbar/histo_eta_smallR_inter_C2
Path=/res/oxford_combined_rw2/SHERPA_QCDttbar/histo_eta_smallR_inter_C2
Title=eta_smallR_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.400820e-01	1.306701e-02	1.306701e-02
-2.400000e+00	-2.000000e+00	9.596608e-01	5.049373e-02	5.049373e-02
-2.000000e+00	-1.600000e+00	1.592885e+00	5.725410e-02	5.725410e-02
-1.600000e+00	-1.200000e+00	2.548571e+00	1.403636e-01	1.403636e-01
-1.200000e+00	-8.000000e-01	3.331339e+00	9.382100e-02	9.382100e-02
-8.000000e-01	-4.000000e-01	4.263941e+00	1.664242e-01	1.664242e-01
-4.000000e-01	7.771561e-16	4.571812e+00	1.657368e-01	1.657368e-01
7.771561e-16	4.000000e-01	4.720945e+00	2.381385e-01	2.381385e-01
4.000000e-01	8.000000e-01	4.166884e+00	1.622594e-01	1.622594e-01
8.000000e-01	1.200000e+00	3.637893e+00	1.591660e-01	1.591660e-01
1.200000e+00	1.600000e+00	2.902590e+00	1.926086e-01	1.926086e-01
1.600000e+00	2.000000e+00	1.985159e+00	1.455835e-01	1.455835e-01
2.000000e+00	2.400000e+00	1.044014e+00	6.098091e-02	6.098091e-02
2.400000e+00	2.800000e+00	1.823855e-01	2.900207e-02	2.900207e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

