# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCDttbar/histo_m_smallR_res_C1c
Path=/res/oxford_combined_rw2/SHERPA_QCDttbar/histo_m_smallR_res_C1c
Title=m_smallR_res_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	6.613839e+04	3.596406e+01	3.596406e+01
6.000000e+00	1.200000e+01	6.851480e+04	3.660321e+01	3.660321e+01
1.200000e+01	1.800000e+01	1.797510e+04	1.874702e+01	1.874702e+01
1.800000e+01	2.400000e+01	5.212978e+03	1.009514e+01	1.009514e+01
2.400000e+01	3.000000e+01	1.746637e+03	5.843285e+00	5.843285e+00
3.000000e+01	3.600000e+01	6.812970e+02	3.649166e+00	3.649166e+00
3.600000e+01	4.200000e+01	3.114835e+02	2.467410e+00	2.467410e+00
4.200000e+01	4.800000e+01	1.603947e+02	1.770525e+00	1.770525e+00
4.800000e+01	5.400000e+01	9.650622e+01	1.373361e+00	1.373361e+00
5.400000e+01	6.000000e+01	6.124030e+01	1.093926e+00	1.093926e+00
6.000000e+01	6.600000e+01	4.426331e+01	9.300628e-01	9.300628e-01
6.600000e+01	7.200000e+01	3.572001e+01	8.354559e-01	8.354559e-01
7.200000e+01	7.800000e+01	4.508141e+01	9.385864e-01	9.385864e-01
7.800000e+01	8.400000e+01	6.376145e+01	1.116220e+00	1.116220e+00
8.400000e+01	9.000000e+01	2.528539e+01	7.029146e-01	7.029146e-01
9.000000e+01	9.600000e+01	1.158751e+01	4.758420e-01	4.758420e-01
9.600000e+01	1.020000e+02	8.402667e+00	4.052127e-01	4.052127e-01
1.020000e+02	1.080000e+02	5.881687e+00	3.390148e-01	3.390148e-01
1.080000e+02	1.140000e+02	4.240286e+00	2.878494e-01	2.878494e-01
1.140000e+02	1.200000e+02	3.087397e+00	2.456201e-01	2.456201e-01
1.200000e+02	1.260000e+02	2.442561e+00	2.184693e-01	2.184693e-01
1.260000e+02	1.320000e+02	1.660942e+00	1.801544e-01	1.801544e-01
1.320000e+02	1.380000e+02	1.524158e+00	1.725769e-01	1.725769e-01
1.380000e+02	1.440000e+02	1.016105e+00	1.409085e-01	1.409085e-01
1.440000e+02	1.500000e+02	6.839171e-01	1.156031e-01	1.156031e-01
1.500000e+02	1.560000e+02	7.816196e-01	1.235849e-01	1.235849e-01
1.560000e+02	1.620000e+02	4.689717e-01	9.572845e-02	9.572845e-02
1.620000e+02	1.680000e+02	5.275932e-01	1.015354e-01	1.015354e-01
1.680000e+02	1.740000e+02	1.113808e+00	1.475275e-01	1.475275e-01
1.740000e+02	1.800000e+02	1.094267e+00	1.462276e-01	1.462276e-01
# END HISTOGRAM

