# BEGIN HISTOGRAM /res/oxford_combined_rw2/background/histo_pt_HH_inter_C1e
Path=/res/oxford_combined_rw2/background/histo_pt_HH_inter_C1e
Title=pt_HH_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.983381e+03	8.565610e+02	8.565610e+02
1.000000e+01	2.000000e+01	1.096458e+04	1.272281e+03	1.272281e+03
2.000000e+01	3.000000e+01	1.447108e+04	1.449837e+03	1.449837e+03
3.000000e+01	4.000000e+01	2.108344e+04	1.763799e+03	1.763799e+03
4.000000e+01	5.000000e+01	2.666959e+04	1.992048e+03	1.992048e+03
5.000000e+01	6.000000e+01	2.600833e+04	1.972461e+03	1.972461e+03
6.000000e+01	7.000000e+01	2.325610e+04	1.860741e+03	1.860741e+03
7.000000e+01	8.000000e+01	2.268006e+04	1.840037e+03	1.840037e+03
8.000000e+01	9.000000e+01	2.089405e+04	1.756507e+03	1.756507e+03
9.000000e+01	1.000000e+02	2.298152e+04	1.859943e+03	1.859943e+03
1.000000e+02	1.100000e+02	1.998147e+04	1.743397e+03	1.743397e+03
1.100000e+02	1.200000e+02	1.460861e+04	1.466379e+03	1.466379e+03
1.200000e+02	1.300000e+02	1.469196e+04	1.474678e+03	1.474678e+03
1.300000e+02	1.400000e+02	1.214535e+04	1.348663e+03	1.348663e+03
1.400000e+02	1.500000e+02	1.192204e+04	1.339064e+03	1.339064e+03
1.500000e+02	1.600000e+02	8.847662e+03	1.146534e+03	1.146534e+03
1.600000e+02	1.700000e+02	6.894430e+03	1.017611e+03	1.017611e+03
1.700000e+02	1.800000e+02	6.708718e+03	1.005048e+03	1.005048e+03
1.800000e+02	1.900000e+02	4.077679e+03	7.788716e+02	7.788716e+02
1.900000e+02	2.000000e+02	5.580719e+03	1.491996e+03	1.491996e+03
2.000000e+02	2.100000e+02	5.410146e+03	9.121325e+02	9.121325e+02
2.100000e+02	2.200000e+02	3.471610e+03	7.278477e+02	7.278477e+02
2.200000e+02	2.300000e+02	1.624108e+03	4.780913e+02	4.780913e+02
2.300000e+02	2.400000e+02	3.160224e+03	7.030707e+02	7.030707e+02
2.400000e+02	2.500000e+02	2.168352e+03	5.736186e+02	5.736186e+02
2.500000e+02	2.600000e+02	2.839029e+03	6.622151e+02	6.622151e+02
2.600000e+02	2.700000e+02	1.360860e+03	4.497295e+02	4.497295e+02
2.700000e+02	2.800000e+02	1.326506e+03	4.493030e+02	4.493030e+02
2.800000e+02	2.900000e+02	1.043140e+03	3.898084e+02	3.898084e+02
2.900000e+02	3.000000e+02	2.238517e+03	1.311320e+03	1.311320e+03
# END HISTOGRAM

