# BEGIN HISTOGRAM /res/oxford_combined_rw2/background/histo_tau21_fj2_boost_C1e
Path=/res/oxford_combined_rw2/background/histo_tau21_fj2_boost_C1e
Title=tau21_fj2_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	2.323648e+05	9.588785e+04	9.588785e+04
3.333333e-02	6.666667e-02	4.551189e+05	1.354774e+05	1.354774e+05
6.666667e-02	1.000000e-01	1.150632e+06	2.191939e+05	2.191939e+05
1.000000e-01	1.333333e-01	2.104247e+06	3.019957e+05	3.019957e+05
1.333333e-01	1.666667e-01	2.861086e+06	3.569293e+05	3.569293e+05
1.666667e-01	2.000000e-01	2.979056e+06	3.604396e+05	3.604396e+05
2.000000e-01	2.333333e-01	4.333103e+06	4.397157e+05	4.397157e+05
2.333333e-01	2.666667e-01	5.099198e+06	4.747981e+05	4.747981e+05
2.666667e-01	3.000000e-01	6.906669e+06	5.580348e+05	5.580348e+05
3.000000e-01	3.333333e-01	5.768483e+06	5.049795e+05	5.049795e+05
3.333333e-01	3.666667e-01	6.433813e+06	5.354210e+05	5.354210e+05
3.666667e-01	4.000000e-01	7.180469e+06	5.682637e+05	5.682637e+05
4.000000e-01	4.333333e-01	8.029157e+06	6.012263e+05	6.012263e+05
4.333333e-01	4.666667e-01	8.153868e+06	6.068000e+05	6.068000e+05
4.666667e-01	5.000000e-01	6.704880e+06	5.460057e+05	5.460057e+05
5.000000e-01	5.333333e-01	7.346140e+06	5.794525e+05	5.794525e+05
5.333333e-01	5.666667e-01	7.926619e+06	5.991997e+05	5.991997e+05
5.666667e-01	6.000000e-01	6.316519e+06	5.350737e+05	5.350737e+05
6.000000e-01	6.333333e-01	6.019949e+06	5.222250e+05	5.222250e+05
6.333333e-01	6.666667e-01	5.328113e+06	4.908282e+05	4.908282e+05
6.666667e-01	7.000000e-01	4.588872e+06	4.594309e+05	4.594309e+05
7.000000e-01	7.333333e-01	3.333434e+06	3.900776e+05	3.900776e+05
7.333333e-01	7.666667e-01	2.714103e+06	3.503306e+05	3.503306e+05
7.666667e-01	8.000000e-01	2.159364e+06	3.159536e+05	3.159536e+05
8.000000e-01	8.333333e-01	1.448843e+06	2.566743e+05	2.566743e+05
8.333333e-01	8.666667e-01	7.924039e+05	1.905909e+05	1.905909e+05
8.666667e-01	9.000000e-01	5.372319e+05	1.579492e+05	1.579492e+05
9.000000e-01	9.333333e-01	3.571443e+05	1.262050e+05	1.262050e+05
9.333333e-01	9.666667e-01	5.949121e+05	1.650653e+05	1.650653e+05
9.666667e-01	1.000000e+00	1.903800e+05	9.515822e+04	9.515822e+04
# END HISTOGRAM

