# BEGIN HISTOGRAM /res/oxford_combined_rw2/diHiggs/histo_m_largeR_boost_C1e
Path=/res/oxford_combined_rw2/diHiggs/histo_m_largeR_boost_C1e
Title=m_largeR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	6.531400e-06	6.531400e-06	6.531400e-06
6.000000e+00	1.200000e+01	1.110338e-04	2.692965e-05	2.692965e-05
1.200000e+01	1.800000e+01	6.792656e-04	6.660747e-05	6.660747e-05
1.800000e+01	2.400000e+01	1.574067e-03	1.013946e-04	1.013946e-04
2.400000e+01	3.000000e+01	2.514589e-03	1.281553e-04	1.281553e-04
3.000000e+01	3.600000e+01	2.553777e-03	1.291501e-04	1.291501e-04
3.600000e+01	4.200000e+01	2.606029e-03	1.304646e-04	1.304646e-04
4.200000e+01	4.800000e+01	2.717062e-03	1.332149e-04	1.332149e-04
4.800000e+01	5.400000e+01	2.566840e-03	1.294800e-04	1.294800e-04
5.400000e+01	6.000000e+01	2.299053e-03	1.225399e-04	1.225399e-04
6.000000e+01	6.600000e+01	1.933294e-03	1.123705e-04	1.123705e-04
6.600000e+01	7.200000e+01	1.815729e-03	1.089002e-04	1.089002e-04
7.200000e+01	7.800000e+01	1.717758e-03	1.059215e-04	1.059215e-04
7.800000e+01	8.400000e+01	1.652444e-03	1.038883e-04	1.038883e-04
8.400000e+01	9.000000e+01	3.084780e-02	4.488645e-04	4.488645e-04
9.000000e+01	9.600000e+01	3.619702e-02	4.862275e-04	4.862275e-04
9.600000e+01	1.020000e+02	3.438782e-02	4.739205e-04	4.739205e-04
1.020000e+02	1.080000e+02	3.728776e-02	4.934990e-04	4.934990e-04
1.080000e+02	1.140000e+02	5.125190e-02	5.785729e-04	5.785729e-04
1.140000e+02	1.200000e+02	1.021707e-01	8.168951e-04	8.168951e-04
1.200000e+02	1.260000e+02	1.664397e-01	1.042633e-03	1.042633e-03
1.260000e+02	1.320000e+02	1.586477e-01	1.017935e-03	1.017935e-03
1.320000e+02	1.380000e+02	9.676269e-02	7.949817e-04	7.949817e-04
1.380000e+02	1.440000e+02	5.334848e-02	5.902883e-04	5.902883e-04
1.440000e+02	1.500000e+02	3.433557e-02	4.735603e-04	4.735603e-04
1.500000e+02	1.560000e+02	2.447969e-02	3.998583e-04	3.998583e-04
1.560000e+02	1.620000e+02	1.999262e-02	3.613582e-04	3.613582e-04
1.620000e+02	1.680000e+02	8.516946e-03	2.358550e-04	2.358550e-04
1.680000e+02	1.740000e+02	1.240966e-04	2.846971e-05	2.846971e-05
1.740000e+02	1.800000e+02	9.797100e-05	2.529600e-05	2.529600e-05
# END HISTOGRAM

