# BEGIN HISTOGRAM /res/oxford_combined_rw2/diHiggs/histo_pt_smallR_boost_C2
Path=/res/oxford_combined_rw2/diHiggs/histo_pt_smallR_boost_C2
Title=pt_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	4.257735e-03	4.724213e-05	4.724213e-05
6.000000e+01	9.000000e+01	8.379301e-03	6.641404e-05	6.641404e-05
9.000000e+01	1.200000e+02	8.594910e-03	6.736036e-05	6.736036e-05
1.200000e+02	1.500000e+02	7.829434e-03	6.433923e-05	6.433923e-05
1.500000e+02	1.800000e+02	6.810256e-03	6.002423e-05	6.002423e-05
1.800000e+02	2.100000e+02	5.590622e-03	5.440520e-05	5.440520e-05
2.100000e+02	2.400000e+02	4.179413e-03	4.703840e-05	4.703840e-05
2.400000e+02	2.700000e+02	3.168029e-03	4.096747e-05	4.096747e-05
2.700000e+02	3.000000e+02	2.133332e-03	3.361636e-05	3.361636e-05
3.000000e+02	3.300000e+02	1.476156e-03	2.797834e-05	2.797834e-05
3.300000e+02	3.600000e+02	9.723782e-04	2.269368e-05	2.269368e-05
3.600000e+02	3.900000e+02	6.868359e-04	1.908038e-05	1.908038e-05
3.900000e+02	4.200000e+02	4.358611e-04	1.517776e-05	1.517776e-05
4.200000e+02	4.500000e+02	3.165224e-04	1.294551e-05	1.294551e-05
4.500000e+02	4.800000e+02	2.102774e-04	1.054378e-05	1.054378e-05
4.800000e+02	5.100000e+02	1.690694e-04	9.468724e-06	9.468724e-06
5.100000e+02	5.400000e+02	1.188532e-04	7.938103e-06	7.938103e-06
5.400000e+02	5.700000e+02	8.167553e-05	6.576807e-06	6.576807e-06
5.700000e+02	6.000000e+02	8.264697e-05	6.620140e-06	6.620140e-06
6.000000e+02	6.300000e+02	9.804645e-05	7.219670e-06	7.219670e-06
6.300000e+02	6.600000e+02	8.768965e-05	6.831615e-06	6.831615e-06
6.600000e+02	6.900000e+02	6.417277e-05	5.838395e-06	5.838395e-06
6.900000e+02	7.200000e+02	5.879733e-05	5.587474e-06	5.587474e-06
7.200000e+02	7.500000e+02	4.472761e-05	4.875188e-06	4.875188e-06
7.500000e+02	7.800000e+02	2.897785e-05	3.931887e-06	3.931887e-06
7.800000e+02	8.100000e+02	2.899550e-05	3.931901e-06	3.931901e-06
8.100000e+02	8.400000e+02	2.303652e-05	3.508598e-06	3.508598e-06
8.400000e+02	8.700000e+02	8.053122e-06	2.072292e-06	2.072292e-06
8.700000e+02	9.000000e+02	4.842653e-06	1.605213e-06	1.605213e-06
# END HISTOGRAM

