# BEGIN HISTOGRAM /res/oxford_combined_rw2/signal/histo_m_HH_inter_C1d
Path=/res/oxford_combined_rw2/signal/histo_m_HH_inter_C1d
Title=m_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	1.959420e-06	1.959420e-06	1.959420e-06
1.600000e+02	1.800000e+02	1.018898e-04	1.412958e-05	1.412958e-05
1.800000e+02	2.000000e+02	1.391188e-04	1.651037e-05	1.651037e-05
2.000000e+02	2.200000e+02	1.920232e-04	1.939727e-05	1.939727e-05
2.200000e+02	2.400000e+02	3.370202e-04	2.569755e-05	2.569755e-05
2.400000e+02	2.600000e+02	6.015419e-04	3.433181e-05	3.433181e-05
2.600000e+02	2.800000e+02	9.013332e-04	4.202488e-05	4.202488e-05
2.800000e+02	3.000000e+02	1.495037e-03	5.412399e-05	5.412399e-05
3.000000e+02	3.200000e+02	1.808545e-03	5.952897e-05	5.952897e-05
3.200000e+02	3.400000e+02	2.621704e-03	7.167300e-05	7.167300e-05
3.400000e+02	3.600000e+02	3.493646e-03	8.273766e-05	8.273766e-05
3.600000e+02	3.800000e+02	4.606596e-03	9.500662e-05	9.500662e-05
3.800000e+02	4.000000e+02	5.756776e-03	1.062071e-04	1.062071e-04
4.000000e+02	4.200000e+02	7.447755e-03	1.208027e-04	1.208027e-04
4.200000e+02	4.400000e+02	9.444404e-03	1.360351e-04	1.360351e-04
4.400000e+02	4.600000e+02	1.129214e-02	1.487482e-04	1.487482e-04
4.600000e+02	4.800000e+02	1.324764e-02	1.611139e-04	1.611139e-04
4.800000e+02	5.000000e+02	1.464471e-02	1.693964e-04	1.693964e-04
5.000000e+02	5.200000e+02	1.521882e-02	1.726848e-04	1.726848e-04
5.200000e+02	5.400000e+02	1.597907e-02	1.769455e-04	1.769455e-04
5.400000e+02	5.600000e+02	1.555192e-02	1.745644e-04	1.745644e-04
5.600000e+02	5.800000e+02	1.473092e-02	1.698943e-04	1.698943e-04
5.800000e+02	6.000000e+02	1.342203e-02	1.621709e-04	1.621709e-04
# END HISTOGRAM

