# BEGIN HISTOGRAM /res/oxford_combined_rw2/total/histo_m_largeR_inter_C2
Path=/res/oxford_combined_rw2/total/histo_m_largeR_inter_C2
Title=m_largeR_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	2.000057e+00	3.395748e-01	3.395748e-01
9.000000e+01	9.600000e+01	2.363012e+00	3.641072e-01	3.641072e-01
9.600000e+01	1.020000e+02	3.232680e+00	1.029102e+00	1.029102e+00
1.020000e+02	1.080000e+02	9.854032e+00	7.764289e+00	7.764289e+00
1.080000e+02	1.140000e+02	3.383752e+00	1.388893e+00	1.388893e+00
1.140000e+02	1.200000e+02	2.608069e+00	1.009236e+00	1.009236e+00
1.200000e+02	1.260000e+02	2.249557e+00	1.000327e+00	1.000327e+00
1.260000e+02	1.320000e+02	5.832194e-01	2.128803e-01	2.128803e-01
1.320000e+02	1.380000e+02	3.509823e-01	1.278067e-01	1.278067e-01
1.380000e+02	1.440000e+02	5.832405e-01	1.768862e-01	1.768862e-01
1.440000e+02	1.500000e+02	1.500776e-01	5.958137e-02	5.958137e-02
1.500000e+02	1.560000e+02	5.010123e-02	1.780840e-02	1.780840e-02
1.560000e+02	1.620000e+02	2.456366e+00	1.665871e+00	1.665871e+00
1.620000e+02	1.680000e+02	5.258151e-02	4.072227e-02	4.072227e-02
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

