# BEGIN HISTOGRAM /res/oxford_combined_rw2/total/histo_pt_H1_res_C1e
Path=/res/oxford_combined_rw2/total/histo_pt_H1_res_C1e
Title=pt_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.873714e+05	4.389619e+03	4.389619e+03
3.000000e+01	6.000000e+01	4.369765e+05	4.746985e+03	4.746985e+03
6.000000e+01	9.000000e+01	2.804591e+05	3.762229e+03	3.762229e+03
9.000000e+01	1.200000e+02	1.702146e+05	2.906482e+03	2.906482e+03
1.200000e+02	1.500000e+02	8.815027e+04	2.091261e+03	2.091261e+03
1.500000e+02	1.800000e+02	4.492144e+04	1.485387e+03	1.485387e+03
1.800000e+02	2.100000e+02	2.664945e+04	1.151555e+03	1.151555e+03
2.100000e+02	2.400000e+02	1.534310e+04	8.693741e+02	8.693741e+02
2.400000e+02	2.700000e+02	9.475935e+03	6.848652e+02	6.848652e+02
2.700000e+02	3.000000e+02	6.083566e+03	5.482350e+02	5.482350e+02
3.000000e+02	3.300000e+02	4.024178e+03	4.465313e+02	4.465313e+02
3.300000e+02	3.600000e+02	2.528260e+03	3.660880e+02	3.660880e+02
3.600000e+02	3.900000e+02	1.487468e+03	2.703069e+02	2.703069e+02
3.900000e+02	4.200000e+02	1.096650e+03	2.313487e+02	2.313487e+02
4.200000e+02	4.500000e+02	7.127238e+02	1.909070e+02	1.909070e+02
4.500000e+02	4.800000e+02	3.020420e+02	1.188318e+02	1.188318e+02
4.800000e+02	5.100000e+02	2.313474e+02	1.060699e+02	1.060699e+02
5.100000e+02	5.400000e+02	2.234966e+02	1.059346e+02	1.059346e+02
5.400000e+02	5.700000e+02	7.953291e+00	5.355555e+00	5.355555e+00
5.700000e+02	6.000000e+02	2.547469e-01	4.033185e-02	4.033185e-02
6.000000e+02	6.300000e+02	3.900251e+00	3.786889e+00	3.786889e+00
6.300000e+02	6.600000e+02	3.853303e+00	3.786865e+00	3.786865e+00
6.600000e+02	6.900000e+02	6.283823e-02	2.369221e-02	2.369221e-02
6.900000e+02	7.200000e+02	3.938834e-02	2.167213e-02	2.167213e-02
7.200000e+02	7.500000e+02	7.820114e-03	5.526885e-03	5.526885e-03
7.500000e+02	7.800000e+02	3.786835e+00	3.786830e+00	3.786830e+00
7.800000e+02	8.100000e+02	3.909404e-03	3.908098e-03	3.908098e-03
8.100000e+02	8.400000e+02	2.612560e-06	1.847359e-06	1.847359e-06
8.400000e+02	8.700000e+02	1.306280e-06	1.306280e-06	1.306280e-06
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

