# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_eta_smallR_res_C1c
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_eta_smallR_res_C1c
Title=eta_smallR_res_C1c
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.749962e+06	2.551649e+04	2.551649e+04
-2.400000e+00	-2.000000e+00	8.483734e+06	4.985378e+04	4.985378e+04
-2.000000e+00	-1.600000e+00	1.085264e+07	5.711387e+04	5.711387e+04
-1.600000e+00	-1.200000e+00	1.286375e+07	6.144903e+04	6.144903e+04
-1.200000e+00	-8.000000e-01	1.443181e+07	6.486886e+04	6.486886e+04
-8.000000e-01	-4.000000e-01	1.558555e+07	6.698913e+04	6.698913e+04
-4.000000e-01	7.771561e-16	1.620222e+07	6.921686e+04	6.921686e+04
7.771561e-16	4.000000e-01	1.606439e+07	6.813465e+04	6.813465e+04
4.000000e-01	8.000000e-01	1.560965e+07	6.681307e+04	6.681307e+04
8.000000e-01	1.200000e+00	1.434468e+07	6.530095e+04	6.530095e+04
1.200000e+00	1.600000e+00	1.291266e+07	6.101360e+04	6.101360e+04
1.600000e+00	2.000000e+00	1.088253e+07	5.610184e+04	5.610184e+04
2.000000e+00	2.400000e+00	8.465718e+06	5.079227e+04	5.079227e+04
2.400000e+00	2.800000e+00	1.753136e+06	2.289330e+04	2.289330e+04
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

