# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_m_H1_inter_C2
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_m_H1_inter_C2
Title=m_H1_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	1.121253e+00	9.743718e-01	9.743718e-01
9.000000e+01	9.600000e+01	3.887232e-01	1.702128e-01	1.702128e-01
9.600000e+01	1.020000e+02	1.973372e-01	1.231751e-01	1.231751e-01
1.020000e+02	1.080000e+02	4.951186e-01	2.079483e-01	2.079483e-01
1.080000e+02	1.140000e+02	2.470599e-01	1.130248e-01	1.130248e-01
1.140000e+02	1.200000e+02	9.056632e+00	7.817055e+00	7.817055e+00
1.200000e+02	1.260000e+02	1.920618e-01	1.002042e-01	1.002042e-01
1.260000e+02	1.320000e+02	9.608044e-01	2.946950e-01	2.946950e-01
1.320000e+02	1.380000e+02	6.044631e-01	2.300422e-01	2.300422e-01
1.380000e+02	1.440000e+02	2.950225e-01	1.399215e-01	1.399215e-01
1.440000e+02	1.500000e+02	1.262067e+00	9.794052e-01	9.794052e-01
1.500000e+02	1.560000e+02	2.231740e-01	1.017021e-01	1.017021e-01
1.560000e+02	1.620000e+02	2.858067e-01	1.562950e-01	1.562950e-01
1.620000e+02	1.680000e+02	1.112079e+00	9.769861e-01	9.769861e-01
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

