# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_m_HH_inter_C1d
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_m_HH_inter_C1d
Title=m_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	4.544196e+01	1.606616e+01	1.606616e+01
1.800000e+02	2.000000e+02	9.088393e+01	2.272098e+01	2.272098e+01
2.000000e+02	2.200000e+02	2.066219e+02	3.450114e+01	3.450114e+01
2.200000e+02	2.400000e+02	3.922195e+02	4.929096e+01	4.929096e+01
2.400000e+02	2.600000e+02	5.570078e+02	5.687221e+01	5.687221e+01
2.600000e+02	2.800000e+02	9.793774e+02	7.585150e+01	7.585150e+01
2.800000e+02	3.000000e+02	1.503266e+03	9.367753e+01	9.367753e+01
3.000000e+02	3.200000e+02	2.247258e+03	1.151869e+02	1.151869e+02
3.200000e+02	3.400000e+02	2.895693e+03	1.284262e+02	1.284262e+02
3.400000e+02	3.600000e+02	3.825077e+03	1.482412e+02	1.482412e+02
3.600000e+02	3.800000e+02	4.710601e+03	1.638555e+02	1.638555e+02
3.800000e+02	4.000000e+02	5.755174e+03	1.826727e+02	1.826727e+02
4.000000e+02	4.200000e+02	6.667058e+03	1.962157e+02	1.962157e+02
4.200000e+02	4.400000e+02	6.917472e+03	1.983135e+02	1.983135e+02
4.400000e+02	4.600000e+02	7.099394e+03	2.015304e+02	2.015304e+02
4.600000e+02	4.800000e+02	8.004508e+03	2.196777e+02	2.196777e+02
4.800000e+02	5.000000e+02	6.955784e+03	2.005963e+02	2.005963e+02
5.000000e+02	5.200000e+02	7.256900e+03	2.052831e+02	2.052831e+02
5.200000e+02	5.400000e+02	7.437291e+03	2.075515e+02	2.075515e+02
5.400000e+02	5.600000e+02	6.959150e+03	1.995344e+02	1.995344e+02
5.600000e+02	5.800000e+02	6.563464e+03	1.934627e+02	1.934627e+02
5.800000e+02	6.000000e+02	6.250359e+03	1.886698e+02	1.886698e+02
# END HISTOGRAM

