# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_pt_smallR_res_C1e
Path=/res/oxford_combined_rw2/SHERPA_QCD2b2j/histo_pt_smallR_res_C1e
Title=pt_smallR_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	2.331881e+05	9.412393e+02	9.412393e+02
6.000000e+01	9.000000e+01	1.345285e+05	7.152924e+02	7.152924e+02
9.000000e+01	1.200000e+02	4.576573e+04	4.170521e+02	4.170521e+02
1.200000e+02	1.500000e+02	1.581997e+04	2.451850e+02	2.451850e+02
1.500000e+02	1.800000e+02	5.486588e+03	1.449848e+02	1.449848e+02
1.800000e+02	2.100000e+02	2.654486e+03	1.003562e+02	1.003562e+02
2.100000e+02	2.400000e+02	1.257202e+03	6.915295e+01	6.915295e+01
2.400000e+02	2.700000e+02	7.460056e+02	5.315070e+01	5.315070e+01
2.700000e+02	3.000000e+02	4.662608e+02	4.412423e+01	4.412423e+01
3.000000e+02	3.300000e+02	2.953728e+02	3.344438e+01	3.344438e+01
3.300000e+02	3.600000e+02	1.401127e+02	2.303439e+01	2.303439e+01
3.600000e+02	3.900000e+02	6.807105e+01	1.689432e+01	1.689432e+01
3.900000e+02	4.200000e+02	5.303395e+01	1.491575e+01	1.491575e+01
4.200000e+02	4.500000e+02	4.156324e+01	1.360285e+01	1.360285e+01
4.500000e+02	4.800000e+02	2.272098e+01	9.275802e+00	9.275802e+00
4.800000e+02	5.100000e+02	2.272098e+01	9.275802e+00	9.275802e+00
5.100000e+02	5.400000e+02	1.136049e+01	6.558982e+00	6.558982e+00
5.400000e+02	5.700000e+02	7.573660e+00	5.355387e+00	5.355387e+00
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	3.786830e+00	3.786830e+00	3.786830e+00
6.300000e+02	6.600000e+02	3.786830e+00	3.786830e+00	3.786830e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	3.786830e+00	3.786830e+00	3.786830e+00
7.500000e+02	7.800000e+02	3.786830e+00	3.786830e+00	3.786830e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

