# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4b/histo_m_H0_boost_C1d
Path=/res/oxford_combined_rw2/SHERPA_QCD4b/histo_m_H0_boost_C1d
Title=m_H0_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	2.280700e+00	4.755589e-01	4.755589e-01
1.200000e+01	1.800000e+01	1.051105e+01	1.020924e+00	1.020924e+00
1.800000e+01	2.400000e+01	2.498854e+01	1.574130e+00	1.574130e+00
2.400000e+01	3.000000e+01	3.867275e+01	1.958271e+00	1.958271e+00
3.000000e+01	3.600000e+01	5.503429e+01	2.336076e+00	2.336076e+00
3.600000e+01	4.200000e+01	6.564451e+01	2.551346e+00	2.551346e+00
4.200000e+01	4.800000e+01	7.506479e+01	2.728276e+00	2.728276e+00
4.800000e+01	5.400000e+01	8.091528e+01	2.832601e+00	2.832601e+00
5.400000e+01	6.000000e+01	8.547668e+01	2.911347e+00	2.911347e+00
6.000000e+01	6.600000e+01	8.884815e+01	2.968209e+00	2.968209e+00
6.600000e+01	7.200000e+01	8.220437e+01	2.855076e+00	2.855076e+00
7.200000e+01	7.800000e+01	7.456899e+01	2.719251e+00	2.719251e+00
7.800000e+01	8.400000e+01	6.921430e+01	2.619800e+00	2.619800e+00
8.400000e+01	9.000000e+01	6.485122e+01	2.535883e+00	2.535883e+00
9.000000e+01	9.600000e+01	5.334856e+01	2.300020e+00	2.300020e+00
9.600000e+01	1.020000e+02	5.334856e+01	2.300020e+00	2.300020e+00
1.020000e+02	1.080000e+02	4.749806e+01	2.170242e+00	2.170242e+00
1.080000e+02	1.140000e+02	4.402743e+01	2.089450e+00	2.089450e+00
1.140000e+02	1.200000e+02	3.718533e+01	1.920242e+00	1.920242e+00
1.200000e+02	1.260000e+02	3.192981e+01	1.779378e+00	1.779378e+00
1.260000e+02	1.320000e+02	2.974827e+01	1.717517e+00	1.717517e+00
1.320000e+02	1.380000e+02	2.102211e+01	1.443804e+00	1.443804e+00
1.380000e+02	1.440000e+02	1.755148e+01	1.319250e+00	1.319250e+00
1.440000e+02	1.500000e+02	1.507245e+01	1.222538e+00	1.222538e+00
1.500000e+02	1.560000e+02	1.031273e+01	1.011247e+00	1.011247e+00
1.560000e+02	1.620000e+02	1.021357e+01	1.006373e+00	1.006373e+00
1.620000e+02	1.680000e+02	8.230354e+00	9.033987e-01	9.033987e-01
1.680000e+02	1.740000e+02	7.932871e+00	8.869219e-01	8.869219e-01
1.740000e+02	1.800000e+02	7.139584e+00	8.414080e-01	8.414080e-01
# END HISTOGRAM

