# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4b/histo_m_largeR_boost_C1d
Path=/res/oxford_combined_rw2/SHERPA_QCD4b/histo_m_largeR_boost_C1d
Title=m_largeR_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	7.635388e+00	8.701332e-01	8.701332e-01
1.200000e+01	1.800000e+01	2.865750e+01	1.685735e+00	1.685735e+00
1.800000e+01	2.400000e+01	6.019066e+01	2.443063e+00	2.443063e+00
2.400000e+01	3.000000e+01	9.083137e+01	3.001153e+00	3.001153e+00
3.000000e+01	3.600000e+01	1.255377e+02	3.528233e+00	3.528233e+00
3.600000e+01	4.200000e+01	1.456673e+02	3.800592e+00	3.800592e+00
4.200000e+01	4.800000e+01	1.635163e+02	4.026713e+00	4.026713e+00
4.800000e+01	5.400000e+01	1.717467e+02	4.126809e+00	4.126809e+00
5.400000e+01	6.000000e+01	1.730357e+02	4.142267e+00	4.142267e+00
6.000000e+01	6.600000e+01	1.780930e+02	4.202363e+00	4.202363e+00
6.600000e+01	7.200000e+01	1.746223e+02	4.161214e+00	4.161214e+00
7.200000e+01	7.800000e+01	1.581616e+02	3.960233e+00	3.960233e+00
7.800000e+01	8.400000e+01	1.436841e+02	3.774632e+00	3.774632e+00
8.400000e+01	9.000000e+01	1.331731e+02	3.633945e+00	3.633945e+00
9.000000e+01	9.600000e+01	1.120518e+02	3.333340e+00	3.333340e+00
9.600000e+01	1.020000e+02	1.069946e+02	3.257250e+00	3.257250e+00
1.020000e+02	1.080000e+02	8.924480e+01	2.974827e+00	2.974827e+00
1.080000e+02	1.140000e+02	8.220437e+01	2.855076e+00	2.855076e+00
1.140000e+02	1.200000e+02	6.911514e+01	2.617923e+00	2.617923e+00
1.200000e+02	1.260000e+02	5.493513e+01	2.333970e+00	2.333970e+00
1.260000e+02	1.320000e+02	4.690310e+01	2.156607e+00	2.156607e+00
1.320000e+02	1.380000e+02	3.659037e+01	1.904818e+00	1.904818e+00
1.380000e+02	1.440000e+02	2.736840e+01	1.647384e+00	1.647384e+00
1.440000e+02	1.500000e+02	2.548435e+01	1.589670e+00	1.589670e+00
1.500000e+02	1.560000e+02	1.675819e+01	1.289092e+00	1.289092e+00
1.560000e+02	1.620000e+02	1.626239e+01	1.269879e+00	1.269879e+00
1.620000e+02	1.680000e+02	1.249427e+01	1.113078e+00	1.113078e+00
1.680000e+02	1.740000e+02	1.130434e+01	1.058749e+00	1.058749e+00
1.740000e+02	1.800000e+02	9.816928e+00	9.866384e-01	9.866384e-01
# END HISTOGRAM

