# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4b/histo_pt_HH_boost_C2
Path=/res/oxford_combined_rw2/SHERPA_QCD4b/histo_pt_HH_boost_C2
Title=pt_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.556395e-01	7.719576e-02	7.719576e-02
1.000000e+01	2.000000e+01	5.946961e-01	1.193995e-01	1.193995e-01
2.000000e+01	3.000000e+01	8.260177e-01	1.400769e-01	1.400769e-01
3.000000e+01	4.000000e+01	7.405749e-01	1.334896e-01	1.334896e-01
4.000000e+01	5.000000e+01	4.756030e-01	1.063219e-01	1.063219e-01
5.000000e+01	6.000000e+01	4.771072e-01	1.063633e-01	1.063633e-01
6.000000e+01	7.000000e+01	3.724352e-01	9.443908e-02	9.443908e-02
7.000000e+01	8.000000e+01	2.289046e-01	7.318611e-02	7.318611e-02
8.000000e+01	9.000000e+01	1.777090e-01	6.455766e-02	6.455766e-02
9.000000e+01	1.000000e+02	1.273973e-01	5.458438e-02	5.458438e-02
1.000000e+02	1.100000e+02	1.268371e-01	5.458269e-02	5.458269e-02
1.100000e+02	1.200000e+02	1.492768e-01	5.970130e-02	5.970130e-02
1.200000e+02	1.300000e+02	1.267267e-01	5.458266e-02	5.458266e-02
1.300000e+02	1.400000e+02	1.234254e-01	5.449675e-02	5.449675e-02
1.400000e+02	1.500000e+02	5.001521e-02	3.446948e-02	3.446948e-02
1.500000e+02	1.600000e+02	7.647922e-02	4.222179e-02	4.222179e-02
1.600000e+02	1.700000e+02	2.559969e-02	2.437739e-02	2.437739e-02
1.700000e+02	1.800000e+02	2.590441e-02	2.437930e-02	2.437930e-02
1.800000e+02	1.900000e+02	5.027838e-02	3.447080e-02	3.447080e-02
1.900000e+02	2.000000e+02	7.433164e-02	4.221409e-02	4.221409e-02
2.000000e+02	2.100000e+02	2.620894e-02	2.438120e-02	2.438120e-02
2.100000e+02	2.200000e+02	4.966104e-02	3.446811e-02	3.446811e-02
2.200000e+02	2.300000e+02	2.437787e-02	2.436978e-02	2.436978e-02
2.300000e+02	2.400000e+02	2.529131e-02	2.437549e-02	2.437549e-02
2.400000e+02	2.500000e+02	3.807778e-06	3.807778e-06	3.807778e-06
2.500000e+02	2.600000e+02	3.122378e-04	3.046698e-04	3.046698e-04
2.600000e+02	2.700000e+02	6.130523e-04	4.308177e-04	4.308177e-04
2.700000e+02	2.800000e+02	6.130523e-04	4.308177e-04	4.308177e-04
2.800000e+02	2.900000e+02	2.497902e-02	2.437359e-02	2.437359e-02
2.900000e+02	3.000000e+02	2.467440e-02	2.437168e-02	2.437168e-02
# END HISTOGRAM

