# BEGIN HISTOGRAM /res/oxford_combined_rw2/SHERPA_QCD4j/histo_dEta_HH_res_C1d
Path=/res/oxford_combined_rw2/SHERPA_QCD4j/histo_dEta_HH_res_C1d
Title=dEta_HH_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	5.189785e+07	7.048999e+05	7.048999e+05
1.666667e-01	3.333333e-01	5.239602e+07	7.103385e+05	7.103385e+05
3.333333e-01	5.000000e-01	5.318376e+07	7.124178e+05	7.124178e+05
5.000000e-01	6.666667e-01	5.295120e+07	7.142695e+05	7.142695e+05
6.666667e-01	8.333333e-01	5.101207e+07	6.969026e+05	6.969026e+05
8.333333e-01	1.000000e+00	5.224267e+07	7.059254e+05	7.059254e+05
1.000000e+00	1.166667e+00	5.180856e+07	7.050810e+05	7.050810e+05
1.166667e+00	1.333333e+00	5.250925e+07	7.121431e+05	7.121431e+05
1.333333e+00	1.500000e+00	5.009606e+07	6.957135e+05	6.957135e+05
1.500000e+00	1.666667e+00	4.915370e+07	6.846136e+05	6.846136e+05
1.666667e+00	1.833333e+00	5.105770e+07	7.014183e+05	7.014183e+05
1.833333e+00	2.000000e+00	4.761115e+07	6.748138e+05	6.748138e+05
2.000000e+00	2.166667e+00	4.776271e+07	6.919884e+05	6.919884e+05
2.166667e+00	2.333333e+00	4.575954e+07	6.901341e+05	6.901341e+05
2.333333e+00	2.500000e+00	4.516660e+07	6.586241e+05	6.586241e+05
# END HISTOGRAM

