# BEGIN HISTOGRAM /res/oxford_combined_rw2/background/histo_eta_H1_inter_C1d
Path=/res/oxford_combined_rw2/background/histo_eta_H1_inter_C1d
Title=eta_H1_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	2.344859e+00	8.290327e-01	8.290327e-01
-4.400000e+00	-4.000000e+00	2.344859e+00	8.290327e-01	8.290327e-01
-4.000000e+00	-3.600000e+00	4.254507e+03	3.975085e+03	3.975085e+03
-3.600000e+00	-3.200000e+00	9.361967e+03	5.643101e+03	5.643101e+03
-3.200000e+00	-2.800000e+00	2.226526e+04	9.225522e+03	9.225522e+03
-2.800000e+00	-2.400000e+00	1.138964e+06	7.187500e+04	7.187500e+04
-2.400000e+00	-2.000000e+00	5.935030e+06	1.551745e+05	1.551745e+05
-2.000000e+00	-1.600000e+00	1.062866e+07	2.032983e+05	2.032983e+05
-1.600000e+00	-1.200000e+00	1.212191e+07	2.147697e+05	2.147697e+05
-1.200000e+00	-8.000000e-01	1.371295e+07	2.307079e+05	2.307079e+05
-8.000000e-01	-4.000000e-01	1.385812e+07	2.280818e+05	2.280818e+05
-4.000000e-01	7.771561e-16	1.520328e+07	2.386676e+05	2.386676e+05
7.771561e-16	4.000000e-01	1.492289e+07	2.370249e+05	2.370249e+05
4.000000e-01	8.000000e-01	1.434570e+07	2.323526e+05	2.323526e+05
8.000000e-01	1.200000e+00	1.355194e+07	2.267776e+05	2.267776e+05
1.200000e+00	1.600000e+00	1.254932e+07	2.226310e+05	2.226310e+05
1.600000e+00	2.000000e+00	1.064721e+07	2.011767e+05	2.011767e+05
2.000000e+00	2.400000e+00	5.751317e+06	1.501999e+05	1.501999e+05
2.400000e+00	2.800000e+00	1.032424e+06	6.215664e+04	6.215664e+04
2.800000e+00	3.200000e+00	2.467798e+04	9.724496e+03	9.724496e+03
3.200000e+00	3.600000e+00	1.983904e+04	8.865844e+03	8.865844e+03
3.600000e+00	4.000000e+00	2.878915e+02	2.840174e+02	2.840174e+02
4.000000e+00	4.400000e+00	4.251891e+03	3.975085e+03	3.975085e+03
4.400000e+00	4.800000e+00	3.966098e+03	3.964926e+03	3.964926e+03
4.800000e+00	5.200000e+00	2.840123e+02	2.840123e+02	2.840123e+02
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	8.793220e-01	5.076768e-01	5.076768e-01
# END HISTOGRAM

