# BEGIN HISTOGRAM /res/oxford_combined_rw2/total/histo_m_largeR_res_C1d
Path=/res/oxford_combined_rw2/total/histo_m_largeR_res_C1d
Title=m_largeR_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	8.308926e+02	4.586126e+02	4.586126e+02
6.000000e+00	1.200000e+01	5.182985e+04	3.585731e+03	3.585731e+03
1.200000e+01	1.800000e+01	1.481717e+05	6.112235e+03	6.112235e+03
1.800000e+01	2.400000e+01	2.626942e+05	8.166546e+03	8.166546e+03
2.400000e+01	3.000000e+01	3.978490e+05	9.983431e+03	9.983431e+03
3.000000e+01	3.600000e+01	4.916347e+05	1.116977e+04	1.116977e+04
3.600000e+01	4.200000e+01	5.925530e+05	1.218396e+04	1.218396e+04
4.200000e+01	4.800000e+01	6.618093e+05	1.294550e+04	1.294550e+04
4.800000e+01	5.400000e+01	6.897988e+05	1.316779e+04	1.316779e+04
5.400000e+01	6.000000e+01	7.520333e+05	1.376492e+04	1.376492e+04
6.000000e+01	6.600000e+01	7.715624e+05	1.421340e+04	1.421340e+04
6.600000e+01	7.200000e+01	7.898036e+05	1.410120e+04	1.410120e+04
7.200000e+01	7.800000e+01	7.810681e+05	1.393544e+04	1.393544e+04
7.800000e+01	8.400000e+01	7.929856e+05	1.410158e+04	1.410158e+04
8.400000e+01	9.000000e+01	7.454599e+05	1.363071e+04	1.363071e+04
9.000000e+01	9.600000e+01	7.236626e+05	1.347075e+04	1.347075e+04
9.600000e+01	1.020000e+02	6.633332e+05	1.285829e+04	1.285829e+04
1.020000e+02	1.080000e+02	6.139241e+05	1.238168e+04	1.238168e+04
1.080000e+02	1.140000e+02	5.433104e+05	1.164799e+04	1.164799e+04
1.140000e+02	1.200000e+02	4.567906e+05	1.079790e+04	1.079790e+04
1.200000e+02	1.260000e+02	3.918464e+05	1.012593e+04	1.012593e+04
1.260000e+02	1.320000e+02	3.251876e+05	9.029952e+03	9.029952e+03
1.320000e+02	1.380000e+02	2.623546e+05	8.093202e+03	8.093202e+03
1.380000e+02	1.440000e+02	2.051636e+05	7.552974e+03	7.552974e+03
1.440000e+02	1.500000e+02	1.658110e+05	6.429633e+03	6.429633e+03
1.500000e+02	1.560000e+02	1.401383e+05	5.938684e+03	5.938684e+03
1.560000e+02	1.620000e+02	1.153647e+05	5.382626e+03	5.382626e+03
1.620000e+02	1.680000e+02	8.996928e+04	4.748773e+03	4.748773e+03
1.680000e+02	1.740000e+02	7.743001e+04	4.433663e+03	4.433663e+03
1.740000e+02	1.800000e+02	7.641645e+04	4.383550e+03	4.383550e+03
# END HISTOGRAM

