# BEGIN HISTOGRAM /res/oxford_combined_rw2/total/histo_pt_HH_inter_C1d
Path=/res/oxford_combined_rw2/total/histo_pt_HH_inter_C1d
Title=pt_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.489053e+04	1.935280e+03	1.935280e+03
1.000000e+01	2.000000e+01	7.735920e+04	3.388816e+03	3.388816e+03
2.000000e+01	3.000000e+01	1.310613e+05	4.542135e+03	4.542135e+03
3.000000e+01	4.000000e+01	1.758165e+05	5.137574e+03	5.137574e+03
4.000000e+01	5.000000e+01	2.248381e+05	5.800852e+03	5.800852e+03
5.000000e+01	6.000000e+01	2.500381e+05	6.132109e+03	6.132109e+03
6.000000e+01	7.000000e+01	2.781730e+05	6.457931e+03	6.457931e+03
7.000000e+01	8.000000e+01	3.034357e+05	6.790912e+03	6.790912e+03
8.000000e+01	9.000000e+01	3.166830e+05	7.038640e+03	7.038640e+03
9.000000e+01	1.000000e+02	3.161486e+05	6.921483e+03	6.921483e+03
1.000000e+02	1.100000e+02	3.015550e+05	6.820356e+03	6.820356e+03
1.100000e+02	1.200000e+02	3.003574e+05	6.771451e+03	6.771451e+03
1.200000e+02	1.300000e+02	2.824959e+05	6.549840e+03	6.549840e+03
1.300000e+02	1.400000e+02	2.652880e+05	6.310905e+03	6.310905e+03
1.400000e+02	1.500000e+02	2.415169e+05	6.016239e+03	6.016239e+03
1.500000e+02	1.600000e+02	2.260979e+05	5.847055e+03	5.847055e+03
1.600000e+02	1.700000e+02	1.993356e+05	5.529400e+03	5.529400e+03
1.700000e+02	1.800000e+02	1.788817e+05	5.193328e+03	5.193328e+03
1.800000e+02	1.900000e+02	1.627641e+05	5.071612e+03	5.071612e+03
1.900000e+02	2.000000e+02	1.403149e+05	4.736988e+03	4.736988e+03
2.000000e+02	2.100000e+02	1.319836e+05	4.498693e+03	4.498693e+03
2.100000e+02	2.200000e+02	1.174723e+05	4.203045e+03	4.203045e+03
2.200000e+02	2.300000e+02	1.066727e+05	4.079734e+03	4.079734e+03
2.300000e+02	2.400000e+02	9.373817e+04	3.774869e+03	3.774869e+03
2.400000e+02	2.500000e+02	8.449035e+04	3.559627e+03	3.559627e+03
2.500000e+02	2.600000e+02	8.042201e+04	3.476172e+03	3.476172e+03
2.600000e+02	2.700000e+02	6.860812e+04	3.277407e+03	3.277407e+03
2.700000e+02	2.800000e+02	6.722264e+04	3.186604e+03	3.186604e+03
2.800000e+02	2.900000e+02	5.634244e+04	2.922815e+03	2.922815e+03
2.900000e+02	3.000000e+02	6.376463e+04	3.304256e+03	3.304256e+03
# END HISTOGRAM

