# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_smallR_res_C1c
Path=/res/oxford_combined_rw2/histo_m_smallR_res_C1c
Title=m_smallR_res_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	2.185843e+07	2.120503e+04	2.120503e+04
6.000000e+00	1.200000e+01	3.549683e+07	2.715362e+04	2.715362e+04
1.200000e+01	1.800000e+01	1.150286e+07	1.546452e+04	1.546452e+04
1.800000e+01	2.400000e+01	4.040067e+06	8.933758e+03	8.933758e+03
2.400000e+01	3.000000e+01	6.252173e+06	1.147461e+04	1.147461e+04
3.000000e+01	3.600000e+01	5.500215e+06	1.064173e+04	1.064173e+04
3.600000e+01	4.200000e+01	1.296593e+07	1.679778e+04	1.679778e+04
4.200000e+01	4.800000e+01	1.610300e+06	5.846542e+03	5.846542e+03
4.800000e+01	5.400000e+01	5.988017e+05	3.468299e+03	3.468299e+03
5.400000e+01	6.000000e+01	2.485140e+05	2.209476e+03	2.209476e+03
6.000000e+01	6.600000e+01	1.316465e+05	1.593082e+03	1.593082e+03
6.600000e+01	7.200000e+01	8.126747e+04	1.282516e+03	1.282516e+03
7.200000e+01	7.800000e+01	4.100025e+06	9.103667e+03	9.103667e+03
7.800000e+01	8.400000e+01	2.627117e+06	7.217796e+03	7.217796e+03
8.400000e+01	9.000000e+01	2.736740e+05	2.335468e+03	2.335468e+03
9.000000e+01	9.600000e+01	1.533062e+05	1.760726e+03	1.760726e+03
9.600000e+01	1.020000e+02	1.031102e+05	1.453949e+03	1.453949e+03
1.020000e+02	1.080000e+02	4.130032e+06	9.155193e+03	9.155193e+03
1.080000e+02	1.140000e+02	3.855405e+05	2.759499e+03	2.759499e+03
1.140000e+02	1.200000e+02	1.760373e+05	1.869424e+03	1.869424e+03
1.200000e+02	1.260000e+02	1.185095e+05	1.508693e+03	1.508693e+03
1.260000e+02	1.320000e+02	7.507150e+04	1.214047e+03	1.214047e+03
1.320000e+02	1.380000e+02	5.347845e+04	1.011078e+03	1.011078e+03
1.380000e+02	1.440000e+02	3.797497e+04	9.010975e+02	9.010975e+02
1.440000e+02	1.500000e+02	2.491525e+04	6.871855e+02	6.871855e+02
1.500000e+02	1.560000e+02	1.762200e+04	5.814393e+02	5.814393e+02
1.560000e+02	1.620000e+02	1.169367e+04	4.863822e+02	4.863822e+02
1.620000e+02	1.680000e+02	7.654715e+03	3.868507e+02	3.868507e+02
1.680000e+02	1.740000e+02	5.642148e+03	4.197435e+02	4.197435e+02
1.740000e+02	1.800000e+02	3.993065e+03	2.797110e+02	2.797110e+02
# END HISTO1D

