# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_res_C2
Path=/res/oxford_combined_rw2/histo_m_largeR_res_C2
Title=m_largeR_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	7.609188e-04	5.507618e-04	5.507618e-04
1.200000e+01	1.800000e+01	4.220087e-02	4.063478e-02	4.063478e-02
1.800000e+01	2.400000e+01	8.314523e-02	5.744570e-02	5.744570e-02
2.400000e+01	3.000000e+01	2.842832e-03	1.416312e-03	1.416312e-03
3.000000e+01	3.600000e+01	9.735180e-02	5.872256e-02	5.872256e-02
3.600000e+01	4.200000e+01	1.009942e-01	5.875831e-02	5.875831e-02
4.200000e+01	4.800000e+01	1.327948e-01	1.212154e-01	1.212154e-01
4.800000e+01	5.400000e+01	1.039143e-01	5.876739e-02	5.876739e-02
5.400000e+01	6.000000e+01	3.733098e-02	1.734347e-02	1.734347e-02
6.000000e+01	6.600000e+01	9.514833e-02	4.729118e-02	4.729118e-02
6.600000e+01	7.200000e+01	8.029350e-02	4.264916e-02	4.264916e-02
7.200000e+01	7.800000e+01	1.658827e+00	1.361507e+00	1.361507e+00
7.800000e+01	8.400000e+01	4.019220e-01	1.560602e-01	1.560602e-01
8.400000e+01	9.000000e+01	4.697763e-01	2.066435e-01	2.066435e-01
9.000000e+01	9.600000e+01	4.135038e-01	1.327980e-01	1.327980e-01
9.600000e+01	1.020000e+02	7.883002e-01	2.267788e-01	2.267788e-01
1.020000e+02	1.080000e+02	2.290373e+00	1.366495e+00	1.366495e+00
1.080000e+02	1.140000e+02	2.536250e+00	1.703216e+00	1.703216e+00
1.140000e+02	1.200000e+02	1.029165e+00	2.268673e-01	2.268673e-01
1.200000e+02	1.260000e+02	8.836197e-01	2.202432e-01	2.202432e-01
1.260000e+02	1.320000e+02	7.057885e-01	1.776614e-01	1.776614e-01
1.320000e+02	1.380000e+02	5.436575e-01	1.457453e-01	1.457453e-01
1.380000e+02	1.440000e+02	1.229543e+00	9.232013e-01	9.232013e-01
1.440000e+02	1.500000e+02	8.071502e+00	7.716695e+00	7.716695e+00
1.500000e+02	1.560000e+02	3.045423e-01	8.101166e-02	8.101166e-02
1.560000e+02	1.620000e+02	4.143782e-01	1.567154e-01	1.567154e-01
1.620000e+02	1.680000e+02	4.554897e-01	2.243307e-01	2.243307e-01
1.680000e+02	1.740000e+02	2.790515e-01	9.404702e-02	9.404702e-02
1.740000e+02	1.800000e+02	8.933737e-02	4.415479e-02	4.415479e-02
# END HISTO1D

