# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H1_res_C1e
Path=/res/oxford_combined_rw2/histo_eta_H1_res_C1e
Title=eta_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	1.959420e-04	1.385519e-04	1.385519e-04
-5.200000e+00	-4.800000e+00	3.918840e-04	1.959420e-04	1.959420e-04
-4.800000e+00	-4.400000e+00	1.175652e-03	3.393814e-04	3.393814e-04
-4.400000e+00	-4.000000e+00	3.624927e-03	5.959344e-04	5.959344e-04
-4.000000e+00	-3.600000e+00	5.780290e-03	7.525296e-04	7.525296e-04
-3.600000e+00	-3.200000e+00	1.116870e-02	1.046044e-03	1.046044e-03
-3.200000e+00	-2.800000e+00	2.292521e-02	1.498668e-03	1.498668e-03
-2.800000e+00	-2.400000e+00	4.555653e-02	2.112633e-03	2.112633e-03
-2.400000e+00	-2.000000e+00	9.591360e-02	3.065412e-03	3.065412e-03
-2.000000e+00	-1.600000e+00	1.632197e-01	3.998849e-03	3.998849e-03
-1.600000e+00	-1.200000e+00	2.241576e-01	4.686251e-03	4.686251e-03
-1.200000e+00	-8.000000e-01	2.673630e-01	5.117988e-03	5.117988e-03
-8.000000e-01	-4.000000e-01	2.878387e-01	5.310354e-03	5.310354e-03
-4.000000e-01	7.771561e-16	2.991055e-01	5.413286e-03	5.413286e-03
7.771561e-16	4.000000e-01	3.219328e-01	5.616055e-03	5.616055e-03
4.000000e-01	8.000000e-01	3.021425e-01	5.440699e-03	5.440699e-03
8.000000e-01	1.200000e+00	2.965583e-01	5.390186e-03	5.390186e-03
1.200000e+00	1.600000e+00	2.533530e-01	4.982093e-03	4.982093e-03
1.600000e+00	2.000000e+00	2.580555e-01	5.028117e-03	5.028117e-03
2.000000e+00	2.400000e+00	2.318974e-01	4.766468e-03	4.766468e-03
2.400000e+00	2.800000e+00	1.045351e-01	3.200219e-03	3.200219e-03
2.800000e+00	3.200000e+00	4.291130e-02	2.050381e-03	2.050381e-03
3.200000e+00	3.600000e+00	1.704696e-02	1.292326e-03	1.292326e-03
3.600000e+00	4.000000e+00	9.111305e-03	9.447983e-04	9.447983e-04
4.000000e+00	4.400000e+00	3.624927e-03	5.959344e-04	5.959344e-04
4.400000e+00	4.800000e+00	1.567536e-03	3.918840e-04	3.918840e-04
4.800000e+00	5.200000e+00	6.857970e-04	2.592070e-04	2.592070e-04
5.200000e+00	5.600000e+00	3.918840e-04	1.959420e-04	1.959420e-04
5.600000e+00	6.000000e+00	9.797100e-05	9.797101e-05	9.797101e-05
# END HISTO1D

