# BEGIN HISTO1D /res/oxford_combined_rw2/histo_tau21_fj1_boost_C2
Path=/res/oxford_combined_rw2/histo_tau21_fj1_boost_C2
Title=tau21_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	3.566055e+00	3.069610e+00	3.069610e+00
3.333333e-02	6.666667e-02	7.193960e-01	4.867535e-01	4.867535e-01
6.666667e-02	1.000000e-01	3.922896e+00	3.105438e+00	3.105438e+00
1.000000e-01	1.333333e-01	2.274283e-01	9.435559e-02	9.435559e-02
1.333333e-01	1.666667e-01	6.275669e-01	3.922683e-01	3.922683e-01
1.666667e-01	2.000000e-01	2.446040e+02	2.436059e+02	2.436059e+02
2.000000e-01	2.333333e-01	1.441648e-01	6.247743e-02	6.247743e-02
2.333333e-01	2.666667e-01	3.096015e+01	3.045303e+01	3.045303e+01
2.666667e-01	3.000000e-01	4.222174e+00	3.094600e+00	3.094600e+00
3.000000e-01	3.333333e-01	2.821444e-01	9.961329e-02	9.961329e-02
3.333333e-01	3.666667e-01	6.958432e+00	4.340160e+00	4.340160e+00
3.666667e-01	4.000000e-01	3.302469e+00	3.046550e+00	3.046550e+00
4.000000e-01	4.333333e-01	4.384894e+00	3.116694e+00	3.116694e+00
4.333333e-01	4.666667e-01	4.169350e+00	3.094475e+00	3.094475e+00
4.666667e-01	5.000000e-01	1.042221e+01	5.760413e+00	5.760413e+00
5.000000e-01	5.333333e-01	1.001541e+00	5.454043e-01	5.454043e-01
5.333333e-01	5.666667e-01	7.072144e+00	4.875251e+00	4.875251e+00
5.666667e-01	6.000000e-01	2.141062e-02	8.444463e-03	8.444463e-03
6.000000e-01	6.333333e-01	3.381846e+02	3.060406e+02	3.060406e+02
6.333333e-01	6.666667e-01	1.360759e-01	6.848073e-02	6.848073e-02
6.666667e-01	7.000000e-01	7.612664e-02	4.011913e-02	4.011913e-02
7.000000e-01	7.333333e-01	5.186126e-02	4.760057e-02	4.760057e-02
7.333333e-01	7.666667e-01	7.850537e-02	5.384002e-02	5.384002e-02
7.666667e-01	8.000000e-01	3.949069e-02	3.807225e-02	3.807225e-02
8.000000e-01	8.333333e-01	1.903166e-03	9.515833e-04	9.515833e-04
8.333333e-01	8.666667e-01	4.757900e-02	4.757902e-02	4.757902e-02
8.666667e-01	9.000000e-01	4.757915e-04	4.757916e-04	4.757916e-04
9.000000e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

