# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H1_inter_C2
Path=/res/oxford_combined_rw2/histo_phi_H1_inter_C2
Title=phi_H1_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	5.020729e-01	4.834431e-01	4.834431e-01
2.100000e-01	4.200000e-01	1.993791e-02	1.081685e-02	1.081685e-02
4.200000e-01	6.300000e-01	4.312329e-02	1.618384e-02	1.618384e-02
6.300000e-01	8.400000e-01	8.020481e-02	6.137430e-02	6.137430e-02
8.400000e-01	1.050000e+00	8.148867e-02	6.106671e-02	6.106671e-02
1.050000e+00	1.260000e+00	3.976277e+01	3.867360e+01	3.867360e+01
1.260000e+00	1.470000e+00	6.300076e-01	6.043058e-01	6.043058e-01
1.470000e+00	1.680000e+00	5.142319e-01	4.835186e-01	4.835186e-01
1.680000e+00	1.890000e+00	1.087522e-02	6.238717e-03	6.238717e-03
1.890000e+00	2.100000e+00	1.940926e-02	9.851838e-03	9.851838e-03
2.100000e+00	2.310000e+00	8.651929e-02	6.090737e-02	6.090737e-02
2.310000e+00	2.520000e+00	1.080650e+00	6.878889e-01	6.878889e-01
2.520000e+00	2.730000e+00	3.315434e-02	1.380615e-02	1.380615e-02
2.730000e+00	2.940000e+00	9.692543e-01	6.835516e-01	6.835516e-01
2.940000e+00	3.150000e+00	8.156419e-02	6.122532e-02	6.122532e-02
# END HISTO1D

