# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_HH_inter_C1d
Path=/res/oxford_combined_rw2/histo_pt_HH_inter_C1d
Title=pt_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.717131e+01	4.487909e-01	4.487909e-01
1.000000e+01	2.000000e+01	5.488862e+01	8.024599e-01	8.024599e-01
2.000000e+01	3.000000e+01	9.908510e+01	1.078138e+00	1.078138e+00
3.000000e+01	4.000000e+01	1.541812e+02	1.344893e+00	1.344893e+00
4.000000e+01	5.000000e+01	2.157895e+02	1.591019e+00	1.591019e+00
5.000000e+01	6.000000e+01	2.814014e+02	1.816887e+00	1.816887e+00
6.000000e+01	7.000000e+01	3.383960e+02	1.992415e+00	1.992415e+00
7.000000e+01	8.000000e+01	3.809289e+02	2.113915e+00	2.113915e+00
8.000000e+01	9.000000e+01	4.025476e+02	2.172954e+00	2.172954e+00
9.000000e+01	1.000000e+02	3.998333e+02	2.165633e+00	2.165633e+00
1.000000e+02	1.100000e+02	3.802375e+02	2.111986e+00	2.111986e+00
1.100000e+02	1.200000e+02	3.454718e+02	2.013014e+00	2.013014e+00
1.200000e+02	1.300000e+02	3.057667e+02	1.893839e+00	1.893839e+00
1.300000e+02	1.400000e+02	2.674944e+02	1.771300e+00	1.771300e+00
1.400000e+02	1.500000e+02	2.284766e+02	1.637158e+00	1.637158e+00
1.500000e+02	1.600000e+02	1.903392e+02	1.494262e+00	1.494262e+00
1.600000e+02	1.700000e+02	1.615308e+02	1.376736e+00	1.376736e+00
1.700000e+02	1.800000e+02	1.399116e+02	1.281192e+00	1.281192e+00
1.800000e+02	1.900000e+02	1.175210e+02	1.174145e+00	1.174145e+00
1.900000e+02	2.000000e+02	1.002845e+02	1.084659e+00	1.084659e+00
2.000000e+02	2.100000e+02	8.353856e+01	9.899265e-01	9.899265e-01
2.100000e+02	2.200000e+02	6.987611e+01	9.053911e-01	9.053911e-01
2.200000e+02	2.300000e+02	6.057693e+01	8.430155e-01	8.430155e-01
2.300000e+02	2.400000e+02	4.969577e+01	7.636199e-01	7.636199e-01
2.400000e+02	2.500000e+02	4.477782e+01	7.246924e-01	7.246924e-01
2.500000e+02	2.600000e+02	3.785332e+01	6.663839e-01	6.663839e-01
2.600000e+02	2.700000e+02	3.341642e+01	6.262751e-01	6.262751e-01
2.700000e+02	2.800000e+02	2.987449e+01	5.921127e-01	5.921127e-01
2.800000e+02	2.900000e+02	2.741640e+01	5.671928e-01	5.671928e-01
2.900000e+02	3.000000e+02	2.515690e+01	5.431932e-01	5.431932e-01
# END HISTO1D

