# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_largeR_inter_C1e
Path=/res/oxford_combined_rw2/histo_pt_largeR_inter_C1e
Title=pt_largeR_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	3.847293e+01	3.878344e-01	3.878344e-01
2.100000e+02	2.400000e+02	8.824163e+01	5.873515e-01	5.873515e-01
2.400000e+02	2.700000e+02	4.836937e+01	4.348527e-01	4.348527e-01
2.700000e+02	3.000000e+02	2.222385e+01	2.947257e-01	2.947257e-01
3.000000e+02	3.300000e+02	9.654863e+00	1.942683e-01	1.942683e-01
3.300000e+02	3.600000e+02	4.314540e+00	1.298524e-01	1.298524e-01
3.600000e+02	3.900000e+02	1.954049e+00	8.738772e-02	8.738772e-02
3.900000e+02	4.200000e+02	1.004381e+00	6.265158e-02	6.265158e-02
4.200000e+02	4.500000e+02	5.393173e-01	4.590975e-02	4.590975e-02
4.500000e+02	4.800000e+02	2.383939e-01	3.052322e-02	3.052322e-02
4.800000e+02	5.100000e+02	1.563239e-01	2.471698e-02	2.471698e-02
5.100000e+02	5.400000e+02	1.055186e-01	2.030708e-02	2.030708e-02
5.400000e+02	5.700000e+02	7.425383e-02	1.703501e-02	1.703501e-02
5.700000e+02	6.000000e+02	5.080527e-02	1.409085e-02	1.409085e-02
6.000000e+02	6.300000e+02	3.126478e-02	1.105377e-02	1.105377e-02
6.300000e+02	6.600000e+02	1.172429e-02	6.769025e-03	6.769025e-03
6.600000e+02	6.900000e+02	2.344858e-02	9.572846e-03	9.572846e-03
6.900000e+02	7.200000e+02	1.172429e-02	6.769025e-03	6.769025e-03
7.200000e+02	7.500000e+02	1.172429e-02	6.769025e-03	6.769025e-03
7.500000e+02	7.800000e+02	3.908097e-03	3.908098e-03	3.908098e-03
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	1.172429e-02	6.769025e-03	6.769025e-03
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

