# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H0_boost_C2
Path=/res/oxford_combined_rw2/histo_m_H0_boost_C2
Title=m_H0_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	1.025464e+01	7.764125e+00	7.764125e+00
9.000000e+01	9.600000e+01	5.102640e+00	1.074013e+00	1.074013e+00
9.600000e+01	1.020000e+02	2.203178e+01	1.102338e+01	1.102338e+01
1.020000e+02	1.080000e+02	2.101457e+01	1.098083e+01	1.098083e+01
1.080000e+02	1.140000e+02	2.830227e+01	1.344257e+01	1.344257e+01
1.140000e+02	1.200000e+02	2.904620e+01	1.347597e+01	1.347597e+01
1.200000e+02	1.260000e+02	1.242341e+01	7.769415e+00	7.769415e+00
1.260000e+02	1.320000e+02	1.428774e+01	7.945521e+00	7.945521e+00
1.320000e+02	1.380000e+02	3.292942e+00	3.729207e-01	3.729207e-01
1.380000e+02	1.440000e+02	1.336218e+01	7.942461e+00	7.942461e+00
1.440000e+02	1.500000e+02	2.478650e+00	3.958674e-01	3.958674e-01
1.500000e+02	1.560000e+02	1.206726e+01	7.948796e+00	7.948796e+00
1.560000e+02	1.620000e+02	1.770918e+01	1.097360e+01	1.097360e+01
1.620000e+02	1.680000e+02	9.445692e-01	2.534250e-01	2.534250e-01
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

