# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_smallR_res_C1a
Path=/res/oxford_combined_rw2/histo_pt_smallR_res_C1a
Title=pt_smallR_res_C1a
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	1.649921e+02	1.468080e-02	1.468080e-02
3.000000e+01	6.000000e+01	2.714874e+00	1.883185e-03	1.883185e-03
6.000000e+01	9.000000e+01	1.382074e+00	1.343643e-03	1.343643e-03
9.000000e+01	1.200000e+02	9.570407e-01	1.118107e-03	1.118107e-03
1.200000e+02	1.500000e+02	6.723150e-01	9.371400e-04	9.371400e-04
1.500000e+02	1.800000e+02	4.519180e-01	7.683303e-04	7.683303e-04
1.800000e+02	2.100000e+02	2.904710e-01	6.159841e-04	6.159841e-04
2.100000e+02	2.400000e+02	1.862416e-01	4.932379e-04	4.932379e-04
2.400000e+02	2.700000e+02	1.216983e-01	3.987129e-04	3.987129e-04
2.700000e+02	3.000000e+02	8.196123e-02	3.272068e-04	3.272068e-04
3.000000e+02	3.300000e+02	5.612040e-02	2.707563e-04	2.707563e-04
3.300000e+02	3.600000e+02	4.011587e-02	2.289160e-04	2.289160e-04
3.600000e+02	3.900000e+02	2.885572e-02	1.941485e-04	1.941485e-04
3.900000e+02	4.200000e+02	2.134070e-02	1.669638e-04	1.669638e-04
4.200000e+02	4.500000e+02	1.609859e-02	1.450147e-04	1.450147e-04
4.500000e+02	4.800000e+02	1.233520e-02	1.269379e-04	1.269379e-04
4.800000e+02	5.100000e+02	9.812777e-03	1.132176e-04	1.132176e-04
5.100000e+02	5.400000e+02	7.862500e-03	1.013441e-04	1.013441e-04
5.400000e+02	5.700000e+02	6.464780e-03	9.189566e-05	9.189566e-05
5.700000e+02	6.000000e+02	5.334847e-03	8.347937e-05	8.347937e-05
6.000000e+02	6.300000e+02	4.570673e-03	7.726953e-05	7.726953e-05
6.300000e+02	6.600000e+02	3.960640e-03	7.192848e-05	7.192848e-05
6.600000e+02	6.900000e+02	3.440740e-03	6.704157e-05	6.704157e-05
6.900000e+02	7.200000e+02	2.875122e-03	6.128388e-05	6.128388e-05
7.200000e+02	7.500000e+02	2.471482e-03	5.681942e-05	5.681942e-05
7.500000e+02	7.800000e+02	2.201082e-03	5.362116e-05	5.362116e-05
7.800000e+02	8.100000e+02	1.789604e-03	4.835001e-05	4.835001e-05
8.100000e+02	8.400000e+02	1.546636e-03	4.494818e-05	4.494818e-05
8.400000e+02	8.700000e+02	1.239660e-03	4.024105e-05	4.024105e-05
8.700000e+02	9.000000e+02	1.102500e-03	3.794963e-05	3.794963e-05
# END HISTO1D

