# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_boost_C1b
Path=/res/oxford_combined_rw2/histo_m_largeR_boost_C1b
Title=m_largeR_boost_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	5.606628e+05	1.243729e+04	1.243729e+04
6.000000e+00	1.200000e+01	9.449295e+05	1.638923e+04	1.638923e+04
1.200000e+01	1.800000e+01	1.216866e+06	1.832654e+04	1.832654e+04
1.800000e+01	2.400000e+01	1.143711e+06	1.778083e+04	1.778083e+04
2.400000e+01	3.000000e+01	1.051550e+06	1.702784e+04	1.702784e+04
3.000000e+01	3.600000e+01	1.000630e+06	1.666275e+04	1.666275e+04
3.600000e+01	4.200000e+01	9.528467e+05	1.604066e+04	1.604066e+04
4.200000e+01	4.800000e+01	9.465692e+05	1.621114e+04	1.621114e+04
4.800000e+01	5.400000e+01	9.581982e+05	1.610680e+04	1.610680e+04
5.400000e+01	6.000000e+01	9.568973e+05	1.634068e+04	1.634068e+04
6.000000e+01	6.600000e+01	9.193982e+05	1.602921e+04	1.602921e+04
6.600000e+01	7.200000e+01	8.614460e+05	1.512904e+04	1.512904e+04
7.200000e+01	7.800000e+01	7.945580e+05	1.479614e+04	1.479614e+04
7.800000e+01	8.400000e+01	7.480810e+05	1.418404e+04	1.418404e+04
8.400000e+01	9.000000e+01	6.916465e+05	1.375362e+04	1.375362e+04
9.000000e+01	9.600000e+01	6.095007e+05	1.283285e+04	1.283285e+04
9.600000e+01	1.020000e+02	5.567927e+05	1.226730e+04	1.226730e+04
1.020000e+02	1.080000e+02	4.827972e+05	1.143298e+04	1.143298e+04
1.080000e+02	1.140000e+02	4.031015e+05	1.050615e+04	1.050615e+04
1.140000e+02	1.200000e+02	3.233802e+05	9.264805e+03	9.264805e+03
1.200000e+02	1.260000e+02	2.740843e+05	8.552979e+03	8.552979e+03
1.260000e+02	1.320000e+02	2.245077e+05	7.800110e+03	7.800110e+03
1.320000e+02	1.380000e+02	1.912315e+05	7.241472e+03	7.241472e+03
1.380000e+02	1.440000e+02	1.517391e+05	6.555774e+03	6.555774e+03
1.440000e+02	1.500000e+02	1.256322e+05	6.102905e+03	6.102905e+03
1.500000e+02	1.560000e+02	9.885600e+04	5.121935e+03	5.121935e+03
1.560000e+02	1.620000e+02	7.168572e+04	4.368635e+03	4.368635e+03
1.620000e+02	1.680000e+02	6.926173e+04	4.312736e+03	4.312736e+03
1.680000e+02	1.740000e+02	4.757910e+04	3.546338e+03	3.546338e+03
1.740000e+02	1.800000e+02	4.202822e+04	3.333054e+03	3.333054e+03
# END HISTO1D

