# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H0_boost_C2
Path=/res/oxford_combined_rw2/histo_pt_H0_boost_C2
Title=pt_H0_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	3.387843e-02	3.383407e-02	3.383407e-02
2.100000e+02	2.400000e+02	5.254847e-04	1.519684e-04	1.519684e-04
2.400000e+02	2.700000e+02	8.641423e-03	4.842663e-03	4.842663e-03
2.700000e+02	3.000000e+02	6.505760e-01	4.346325e-01	4.346325e-01
3.000000e+02	3.300000e+02	4.440717e-03	3.413330e-03	3.413330e-03
3.300000e+02	3.600000e+02	4.622573e-03	3.428414e-03	3.428414e-03
3.600000e+02	3.900000e+02	8.465383e-03	4.842250e-03	4.842250e-03
3.900000e+02	4.200000e+02	6.217003e-03	3.553558e-03	3.553558e-03
4.200000e+02	4.500000e+02	1.075288e-03	6.066055e-04	6.066055e-04
4.500000e+02	4.800000e+02	4.077530e-03	3.411223e-03	3.411223e-03
4.800000e+02	5.100000e+02	7.268503e-03	4.803813e-03	4.803813e-03
5.100000e+02	5.400000e+02	4.282647e-03	4.229469e-03	4.229469e-03
5.400000e+02	5.700000e+02	1.982462e-04	9.589694e-05	9.589694e-05
5.700000e+02	6.000000e+02	1.506671e-04	8.590470e-05	8.590470e-05
6.000000e+02	6.300000e+02	4.440717e-05	4.230575e-05	4.230575e-05
6.300000e+02	6.600000e+02	4.658523e-03	4.250350e-03	4.250350e-03
6.600000e+02	6.900000e+02	6.872537e-06	5.365280e-06	5.365280e-06
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	5.815223e-06	5.312935e-06	5.312935e-06
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	1.057314e-06	7.476336e-07	7.476336e-07
8.100000e+02	8.400000e+02	5.286567e-07	5.286568e-07	5.286568e-07
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

