# BEGIN HISTO1D /res/oxford_combined_rw2/histo_Categories_C1c
Path=/res/oxford_combined_rw2/histo_Categories_C1c
Title=Categories_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.016812e+05	1.881737e+02	1.881737e+02
1.000000e+00	2.000000e+00	2.819983e+03	1.818877e+01	1.818877e+01
2.000000e+00	3.000000e+00	1.232881e+03	1.202378e+01	1.202378e+01
3.000000e+00	4.000000e+00	2.720427e+04	5.648950e+01	5.648950e+01
4.000000e+00	5.000000e+00	1.906836e+04	4.728695e+01	4.728695e+01
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

