# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H0_boost_C1e
Path=/res/oxford_combined_rw2/histo_pt_H0_boost_C1e
Title=pt_H0_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	2.181540e-01	6.577589e-02	6.577589e-02
2.100000e+02	2.400000e+02	2.439358e+00	2.199495e-01	2.199495e-01
2.400000e+02	2.700000e+02	4.680393e+00	3.046677e-01	3.046677e-01
2.700000e+02	3.000000e+02	4.739890e+00	3.065980e-01	3.065980e-01
3.000000e+02	3.300000e+02	4.382910e+00	2.948265e-01	2.948265e-01
3.300000e+02	3.600000e+02	2.479022e+00	2.217305e-01	2.217305e-01
3.600000e+02	3.900000e+02	2.201372e+00	2.089449e-01	2.089449e-01
3.900000e+02	4.200000e+02	1.467581e+00	1.706029e-01	1.706029e-01
4.200000e+02	4.500000e+02	1.110602e+00	1.484104e-01	1.484104e-01
4.500000e+02	4.800000e+02	8.527837e-01	1.300483e-01	1.300483e-01
4.800000e+02	5.100000e+02	7.536227e-01	1.222537e-01	1.222537e-01
5.100000e+02	5.400000e+02	3.173149e-01	7.932871e-02	7.932871e-02
5.400000e+02	5.700000e+02	2.379862e-01	6.870068e-02	6.870068e-02
5.700000e+02	6.000000e+02	2.181540e-01	6.577589e-02	6.577589e-02
6.000000e+02	6.300000e+02	2.181540e-01	6.577589e-02	6.577589e-02
6.300000e+02	6.600000e+02	3.966437e-02	2.804693e-02	2.804693e-02
6.600000e+02	6.900000e+02	1.983218e-02	1.983218e-02	1.983218e-02
6.900000e+02	7.200000e+02	5.949653e-02	3.435034e-02	3.435034e-02
7.200000e+02	7.500000e+02	3.966437e-02	2.804693e-02	2.804693e-02
7.500000e+02	7.800000e+02	5.949653e-02	3.435034e-02	3.435034e-02
7.800000e+02	8.100000e+02	1.983218e-02	1.983218e-02	1.983218e-02
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	3.966437e-02	2.804693e-02	2.804693e-02
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

