# BEGIN HISTO1D /res/oxford_combined_rw2/histo_C2_fj2_boost_C1e
Path=/res/oxford_combined_rw2/histo_C2_fj2_boost_C1e
Title=C2_fj2_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	5.593449e+03	1.983801e+02	1.983801e+02
1.666667e-02	3.333333e-02	1.139836e+04	2.832024e+02	2.832024e+02
3.333333e-02	5.000000e-02	1.475342e+04	3.221784e+02	3.221784e+02
5.000000e-02	6.666667e-02	1.889149e+04	3.645848e+02	3.645848e+02
6.666667e-02	8.333333e-02	2.022112e+04	3.772742e+02	3.772742e+02
8.333333e-02	1.000000e-01	2.225361e+04	3.956903e+02	3.956903e+02
1.000000e-01	1.166667e-01	2.291845e+04	4.015931e+02	4.015931e+02
1.166667e-01	1.333333e-01	2.450483e+04	4.152209e+02	4.152209e+02
1.333333e-01	1.500000e-01	2.425549e+04	4.131474e+02	4.131474e+02
1.500000e-01	1.666667e-01	2.425319e+04	4.130980e+02	4.130980e+02
1.666667e-01	1.833333e-01	2.363459e+04	4.078034e+02	4.078034e+02
1.833333e-01	2.000000e-01	2.414610e+04	4.121724e+02	4.121724e+02
2.000000e-01	2.166667e-01	2.156333e+04	3.894962e+02	3.894962e+02
2.166667e-01	2.333333e-01	2.029072e+04	3.778376e+02	3.778376e+02
2.333333e-01	2.500000e-01	1.961744e+04	3.715391e+02	3.715391e+02
2.500000e-01	2.666667e-01	1.903808e+04	3.659862e+02	3.659862e+02
2.666667e-01	2.833333e-01	1.715827e+04	3.474309e+02	3.474309e+02
2.833333e-01	3.000000e-01	1.522581e+04	3.273064e+02	3.273064e+02
3.000000e-01	3.166667e-01	1.321413e+04	3.049272e+02	3.049272e+02
3.166667e-01	3.333333e-01	1.191662e+04	2.895319e+02	2.895319e+02
3.333333e-01	3.500000e-01	1.016748e+04	2.674768e+02	2.674768e+02
3.500000e-01	3.666667e-01	8.528935e+03	2.449924e+02	2.449924e+02
3.666667e-01	3.833333e-01	7.184057e+03	2.248380e+02	2.248380e+02
3.833333e-01	4.000000e-01	5.763537e+03	2.014017e+02	2.014017e+02
4.000000e-01	4.166667e-01	4.811641e+03	1.839777e+02	1.839777e+02
4.166667e-01	4.333333e-01	3.890136e+03	1.654254e+02	1.654254e+02
4.333333e-01	4.500000e-01	3.025859e+03	1.459233e+02	1.459233e+02
4.500000e-01	4.666667e-01	2.286538e+03	1.268347e+02	1.268347e+02
4.666667e-01	4.833333e-01	1.829089e+03	1.134354e+02	1.134354e+02
4.833333e-01	5.000000e-01	1.385809e+03	9.873478e+01	9.873478e+01
5.000000e-01	5.166667e-01	1.027046e+03	8.499893e+01	8.499893e+01
5.166667e-01	5.333333e-01	6.682875e+02	6.856484e+01	6.856484e+01
5.333333e-01	5.500000e-01	5.418719e+02	6.175238e+01	6.175238e+01
5.500000e-01	5.666667e-01	3.939355e+02	5.264184e+01	5.264184e+01
5.666667e-01	5.833333e-01	2.251073e+02	3.979373e+01	3.979373e+01
5.833333e-01	6.000000e-01	1.969677e+02	3.722341e+01	3.722341e+01
6.000000e-01	6.166667e-01	9.848386e+01	2.632092e+01	2.632092e+01
6.166667e-01	6.333333e-01	4.924223e+01	1.861181e+01	1.861181e+01
6.333333e-01	6.500000e-01	6.331103e+01	2.110369e+01	2.110369e+01
6.500000e-01	6.666667e-01	3.517281e+01	1.572976e+01	1.572976e+01
6.666667e-01	6.833333e-01	7.034602e+00	7.034605e+00	7.034605e+00
6.833333e-01	7.000000e-01	1.406912e+01	9.948375e+00	9.948375e+00
7.000000e-01	7.166667e-01	7.034560e+00	7.034563e+00	7.034563e+00
7.166667e-01	7.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	7.034560e+00	7.034563e+00	7.034563e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

