# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H1_res_C1e
Path=/res/oxford_combined_rw2/histo_eta_H1_res_C1e
Title=eta_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	2.323680e+01	2.615594e+00	2.615594e+00
-5.600000e+00	-5.200000e+00	5.520065e+01	4.027071e+00	4.027071e+00
-5.200000e+00	-4.800000e+00	1.168412e+02	5.859622e+00	5.859622e+00
-4.800000e+00	-4.400000e+00	2.542335e+02	8.650455e+00	8.650455e+00
-4.400000e+00	-4.000000e+00	5.917010e+02	1.319886e+01	1.319886e+01
-4.000000e+00	-3.600000e+00	1.203452e+03	1.879920e+01	1.879920e+01
-3.600000e+00	-3.200000e+00	2.440342e+03	2.676714e+01	2.676714e+01
-3.200000e+00	-2.800000e+00	4.696475e+03	3.713289e+01	3.713289e+01
-2.800000e+00	-2.400000e+00	8.205688e+03	4.908482e+01	4.908482e+01
-2.400000e+00	-2.000000e+00	1.228424e+04	6.003770e+01	6.003770e+01
-2.000000e+00	-1.600000e+00	1.556646e+04	6.757274e+01	6.757274e+01
-1.600000e+00	-1.200000e+00	1.682912e+04	7.024946e+01	7.024946e+01
-1.200000e+00	-8.000000e-01	1.657427e+04	6.970899e+01	6.970899e+01
-8.000000e-01	-4.000000e-01	1.582422e+04	6.810794e+01	6.810794e+01
-4.000000e-01	7.771561e-16	1.514519e+04	6.663039e+01	6.663039e+01
7.771561e-16	4.000000e-01	1.498127e+04	6.626898e+01	6.626898e+01
4.000000e-01	8.000000e-01	1.580015e+04	6.805774e+01	6.805774e+01
8.000000e-01	1.200000e+00	1.663762e+04	6.984095e+01	6.984095e+01
1.200000e+00	1.600000e+00	1.670569e+04	6.999153e+01	6.999153e+01
1.600000e+00	2.000000e+00	1.561501e+04	6.767715e+01	6.767715e+01
2.000000e+00	2.400000e+00	1.243404e+04	6.039815e+01	6.039815e+01
2.400000e+00	2.800000e+00	8.241988e+03	4.918811e+01	4.918811e+01
2.800000e+00	3.200000e+00	4.729432e+03	3.725479e+01	3.725479e+01
3.200000e+00	3.600000e+00	2.439013e+03	2.675641e+01	2.675641e+01
3.600000e+00	4.000000e+00	1.188037e+03	1.867027e+01	1.867027e+01
4.000000e+00	4.400000e+00	5.713202e+02	1.294986e+01	1.294986e+01
4.400000e+00	4.800000e+00	2.490626e+02	8.555704e+00	8.555704e+00
4.800000e+00	5.200000e+00	1.161108e+02	5.834876e+00	5.834876e+00
5.200000e+00	5.600000e+00	5.188000e+01	3.899539e+00	3.899539e+00
5.600000e+00	6.000000e+00	2.227615e+01	2.555251e+00	2.555251e+00
# END HISTO1D

