# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dEta_HH_inter_C1d
Path=/res/oxford_combined_rw2/histo_dEta_HH_inter_C1d
Title=dEta_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	2.162880e+07	4.398946e+05	4.398946e+05
1.666667e-01	3.333333e-01	2.255636e+07	4.503827e+05	4.503827e+05
3.333333e-01	5.000000e-01	2.348563e+07	4.598644e+05	4.598644e+05
5.000000e-01	6.666667e-01	2.207242e+07	4.453164e+05	4.453164e+05
6.666667e-01	8.333333e-01	2.308127e+07	4.596270e+05	4.596270e+05
8.333333e-01	1.000000e+00	2.153412e+07	4.481484e+05	4.481484e+05
1.000000e+00	1.166667e+00	2.178929e+07	4.456840e+05	4.456840e+05
1.166667e+00	1.333333e+00	2.134783e+07	4.439629e+05	4.439629e+05
1.333333e+00	1.500000e+00	2.037910e+07	4.354989e+05	4.354989e+05
1.500000e+00	1.666667e+00	1.886245e+07	4.115094e+05	4.115094e+05
1.666667e+00	1.833333e+00	1.847187e+07	4.095247e+05	4.095247e+05
1.833333e+00	2.000000e+00	1.688433e+07	3.947997e+05	3.947997e+05
2.000000e+00	2.166667e+00	1.566548e+07	3.763176e+05	3.763176e+05
2.166667e+00	2.333333e+00	1.323737e+07	3.518378e+05	3.518378e+05
2.333333e+00	2.500000e+00	1.257478e+07	3.372412e+05	3.372412e+05
# END HISTO1D

