# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H1_boost_C1d
Path=/res/oxford_combined_rw2/histo_pt_H1_boost_C1d
Title=pt_H1_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	1.081983e+04	2.056698e+02	2.056698e+02
2.100000e+02	2.400000e+02	1.972790e+04	2.764026e+02	2.764026e+02
2.400000e+02	2.700000e+02	1.114413e+04	2.084801e+02	2.084801e+02
2.700000e+02	3.000000e+02	6.059420e+03	1.562900e+02	1.562900e+02
3.000000e+02	3.300000e+02	3.585153e+03	1.180390e+02	1.180390e+02
3.300000e+02	3.600000e+02	2.056249e+03	8.824208e+01	8.824208e+01
3.600000e+02	3.900000e+02	1.310825e+03	7.047280e+01	7.047280e+01
3.900000e+02	4.200000e+02	9.668857e+02	6.313629e+01	6.313629e+01
4.200000e+02	4.500000e+02	5.734493e+02	4.804907e+01	4.804907e+01
4.500000e+02	4.800000e+02	4.411750e+02	4.100584e+01	4.100584e+01
4.800000e+02	5.100000e+02	2.688649e+02	3.190840e+01	3.190840e+01
5.100000e+02	5.400000e+02	2.234230e+02	2.908719e+01	2.908719e+01
5.400000e+02	5.700000e+02	1.363259e+02	2.272098e+01	2.272098e+01
5.700000e+02	6.000000e+02	1.098181e+02	2.039271e+01	2.039271e+01
6.000000e+02	6.300000e+02	7.194977e+01	1.650641e+01	1.650641e+01
6.300000e+02	6.600000e+02	6.058927e+01	1.514732e+01	1.514732e+01
6.600000e+02	6.900000e+02	1.893415e+01	8.467609e+00	8.467609e+00
6.900000e+02	7.200000e+02	3.029464e+01	1.071077e+01	1.071077e+01
7.200000e+02	7.500000e+02	1.514732e+01	7.573659e+00	7.573659e+00
7.500000e+02	7.800000e+02	7.573660e+00	5.355386e+00	5.355386e+00
7.800000e+02	8.100000e+02	3.376393e+01	1.442175e+01	1.442175e+01
8.100000e+02	8.400000e+02	1.893415e+01	8.467609e+00	8.467609e+00
8.400000e+02	8.700000e+02	7.573660e+00	5.355386e+00	5.355386e+00
8.700000e+02	9.000000e+02	1.136049e+01	6.558981e+00	6.558981e+00
# END HISTO1D

