# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_leadSJ_fj1_boost_C1e
Path=/res/oxford_combined_rw2/histo_pt_leadSJ_fj1_boost_C1e
Title=pt_leadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	7.460057e+02	5.315070e+01	5.315070e+01
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	1.893415e+01	8.467609e+00	8.467609e+00
9.000000e+01	1.200000e+02	1.363259e+02	2.272098e+01	2.272098e+01
1.200000e+02	1.500000e+02	3.483883e+02	3.632200e+01	3.632200e+01
1.500000e+02	1.800000e+02	4.922880e+02	4.317651e+01	4.317651e+01
1.800000e+02	2.100000e+02	4.127643e+02	3.953567e+01	3.953567e+01
2.100000e+02	2.400000e+02	3.680960e+02	3.738241e+01	3.738241e+01
2.400000e+02	2.700000e+02	2.939342e+02	3.357805e+01	3.357805e+01
2.700000e+02	3.000000e+02	2.423571e+02	3.029464e+01	3.029464e+01
3.000000e+02	3.300000e+02	1.706477e+02	2.714521e+01	2.714521e+01
3.300000e+02	3.600000e+02	1.022444e+02	1.967695e+01	1.967695e+01
3.600000e+02	3.900000e+02	6.198680e+01	1.677030e+01	1.677030e+01
3.900000e+02	4.200000e+02	5.870503e+01	1.526861e+01	1.526861e+01
4.200000e+02	4.500000e+02	5.292373e+01	1.510158e+01	1.510158e+01
4.500000e+02	4.800000e+02	4.922880e+01	1.365361e+01	1.365361e+01
4.800000e+02	5.100000e+02	2.272098e+01	9.275801e+00	9.275801e+00
5.100000e+02	5.400000e+02	1.136049e+01	6.558981e+00	6.558981e+00
5.400000e+02	5.700000e+02	7.573660e+00	5.355387e+00	5.355387e+00
5.700000e+02	6.000000e+02	7.573660e+00	5.355386e+00	5.355386e+00
6.000000e+02	6.300000e+02	7.573660e+00	5.355387e+00	5.355387e+00
6.300000e+02	6.600000e+02	7.573660e+00	5.355386e+00	5.355386e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	1.104294e+01	1.104294e+01	1.104294e+01
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	3.786830e+00	3.786830e+00	3.786830e+00
# END HISTO1D

