# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H0_res_C1e
Path=/res/oxford_combined_rw2/histo_pt_H0_res_C1e
Title=pt_H0_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	5.008323e+01	1.001208e+00	1.001208e+00
3.000000e+01	6.000000e+01	1.483024e+02	1.715596e+00	1.715596e+00
6.000000e+01	9.000000e+01	1.279335e+02	1.593011e+00	1.593011e+00
9.000000e+01	1.200000e+02	8.928597e+01	1.330950e+00	1.330950e+00
1.200000e+02	1.500000e+02	5.035390e+01	9.993135e-01	9.993135e-01
1.500000e+02	1.800000e+02	2.923375e+01	7.614410e-01	7.614410e-01
1.800000e+02	2.100000e+02	1.693668e+01	5.795612e-01	5.795612e-01
2.100000e+02	2.400000e+02	8.666663e+00	4.145827e-01	4.145827e-01
2.400000e+02	2.700000e+02	5.533177e+00	3.312627e-01	3.312627e-01
2.700000e+02	3.000000e+02	3.272309e+00	2.547489e-01	2.547489e-01
3.000000e+02	3.300000e+02	1.943553e+00	1.963286e-01	1.963286e-01
3.300000e+02	3.600000e+02	1.189931e+00	1.536194e-01	1.536194e-01
3.600000e+02	3.900000e+02	6.941263e-01	1.173287e-01	1.173287e-01
3.900000e+02	4.200000e+02	5.751330e-01	1.067996e-01	1.067996e-01
4.200000e+02	4.500000e+02	4.164757e-01	9.088246e-02	9.088246e-02
4.500000e+02	4.800000e+02	1.189931e-01	4.857871e-02	4.857871e-02
4.800000e+02	5.100000e+02	2.181540e-01	6.577589e-02	6.577589e-02
5.100000e+02	5.400000e+02	7.932870e-02	3.966436e-02	3.966436e-02
5.400000e+02	5.700000e+02	3.966437e-02	2.804693e-02	2.804693e-02
5.700000e+02	6.000000e+02	5.949653e-02	3.435034e-02	3.435034e-02
6.000000e+02	6.300000e+02	1.983218e-02	1.983218e-02	1.983218e-02
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	3.966437e-02	2.804693e-02	2.804693e-02
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

