# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_smallR_res_C1c
Path=/res/oxford_combined_rw2/histo_eta_smallR_res_C1c
Title=eta_smallR_res_C1c
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	2.526875e+07	3.270498e+05	3.270498e+05
-2.400000e+00	-2.000000e+00	1.224779e+08	7.117878e+05	7.117878e+05
-2.000000e+00	-1.600000e+00	1.530708e+08	7.881997e+05	7.881997e+05
-1.600000e+00	-1.200000e+00	1.797292e+08	8.679991e+05	8.679991e+05
-1.200000e+00	-8.000000e-01	1.993121e+08	9.020293e+05	9.020293e+05
-8.000000e-01	-4.000000e-01	2.112048e+08	9.264661e+05	9.264661e+05
-4.000000e-01	7.771561e-16	2.203349e+08	9.416744e+05	9.416744e+05
7.771561e-16	4.000000e-01	2.185020e+08	9.375147e+05	9.375147e+05
4.000000e-01	8.000000e-01	2.115152e+08	9.273716e+05	9.273716e+05
8.000000e-01	1.200000e+00	1.994454e+08	9.009821e+05	9.009821e+05
1.200000e+00	1.600000e+00	1.793223e+08	8.509216e+05	8.509216e+05
1.600000e+00	2.000000e+00	1.546440e+08	7.928103e+05	7.928103e+05
2.000000e+00	2.400000e+00	1.228278e+08	7.247532e+05	7.247532e+05
2.400000e+00	2.800000e+00	2.582055e+07	3.414923e+05	3.414923e+05
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

