# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H1_inter_C1e
Path=/res/oxford_combined_rw2/histo_m_H1_inter_C1e
Title=m_H1_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	6.269842e+01	1.106992e+00	1.106992e+00
9.000000e+01	9.600000e+01	6.651693e+01	1.140280e+00	1.140280e+00
9.600000e+01	1.020000e+02	6.957740e+01	1.166131e+00	1.166131e+00
1.020000e+02	1.080000e+02	7.214138e+01	1.187473e+00	1.187473e+00
1.080000e+02	1.140000e+02	7.667280e+01	1.224155e+00	1.224155e+00
1.140000e+02	1.200000e+02	7.899235e+01	1.242666e+00	1.242666e+00
1.200000e+02	1.260000e+02	7.907997e+01	1.243257e+00	1.243257e+00
1.260000e+02	1.320000e+02	7.999782e+01	1.250645e+00	1.250645e+00
1.320000e+02	1.380000e+02	7.490993e+01	1.210154e+00	1.210154e+00
1.380000e+02	1.440000e+02	6.522000e+01	1.129037e+00	1.129037e+00
1.440000e+02	1.500000e+02	5.303507e+01	1.018242e+00	1.018242e+00
1.500000e+02	1.560000e+02	3.692602e+01	8.496228e-01	8.496228e-01
1.560000e+02	1.620000e+02	2.642777e+01	7.187566e-01	7.187566e-01
1.620000e+02	1.680000e+02	1.033692e+01	4.494313e-01	4.494313e-01
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

