# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_smallR_inter_C1e
Path=/res/oxford_combined_rw2/histo_m_smallR_inter_C1e
Title=m_smallR_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	1.296076e+03	5.033355e+00	5.033355e+00
6.000000e+00	1.200000e+01	1.741022e+03	5.833750e+00	5.833750e+00
1.200000e+01	1.800000e+01	6.941688e+02	3.683567e+00	3.683567e+00
1.800000e+01	2.400000e+01	2.416242e+02	2.173227e+00	2.173227e+00
2.400000e+01	3.000000e+01	8.588357e+01	1.295656e+00	1.295656e+00
3.000000e+01	3.600000e+01	3.138632e+01	7.831966e-01	7.831966e-01
3.600000e+01	4.200000e+01	1.250846e+01	4.944469e-01	4.944469e-01
4.200000e+01	4.800000e+01	7.073657e+00	3.717832e-01	3.717832e-01
4.800000e+01	5.400000e+01	2.911533e+00	2.385221e-01	2.385221e-01
5.400000e+01	6.000000e+01	1.914968e+00	1.934410e-01	1.934410e-01
6.000000e+01	6.600000e+01	1.172429e+00	1.513600e-01	1.513600e-01
6.600000e+01	7.200000e+01	1.094267e+00	1.462276e-01	1.462276e-01
7.200000e+01	7.800000e+01	7.425385e-01	1.204557e-01	1.204557e-01
7.800000e+01	8.400000e+01	5.471337e-01	1.033985e-01	1.033985e-01
8.400000e+01	9.000000e+01	1.563239e-01	5.526886e-02	5.526886e-02
9.000000e+01	9.600000e+01	2.149453e-01	6.480848e-02	6.480848e-02
9.600000e+01	1.020000e+02	5.862147e-02	3.384512e-02	3.384512e-02
1.020000e+02	1.080000e+02	1.954048e-02	1.954049e-02	1.954049e-02
1.080000e+02	1.140000e+02	3.908098e-02	2.763442e-02	2.763442e-02
1.140000e+02	1.200000e+02	5.862145e-02	3.384513e-02	3.384513e-02
1.200000e+02	1.260000e+02	1.954048e-02	1.954049e-02	1.954049e-02
1.260000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.440000e+02	3.908097e-02	2.763443e-02	2.763443e-02
1.440000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.620000e+02	3.908097e-02	2.763443e-02	2.763443e-02
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

