# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dEta_HH_boost_C1e
Path=/res/oxford_combined_rw2/histo_dEta_HH_boost_C1e
Title=dEta_HH_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	7.295111e+05	8.040630e+04	8.040630e+04
1.666667e-01	3.333333e-01	9.263992e+05	9.099480e+04	9.099480e+04
3.333333e-01	5.000000e-01	8.249650e+05	8.584562e+04	8.584562e+04
5.000000e-01	6.666667e-01	6.901955e+05	7.756790e+04	7.756790e+04
6.666667e-01	8.333333e-01	6.879363e+05	7.809888e+04	7.809888e+04
8.333333e-01	1.000000e+00	7.343489e+05	8.094448e+04	8.094448e+04
1.000000e+00	1.166667e+00	6.589937e+05	7.578726e+04	7.578726e+04
1.166667e+00	1.333333e+00	6.349297e+05	7.512303e+04	7.512303e+04
1.333333e+00	1.500000e+00	7.746795e+05	8.366481e+04	8.366481e+04
1.500000e+00	1.666667e+00	6.015810e+05	7.491849e+04	7.491849e+04
1.666667e+00	1.833333e+00	5.320826e+05	6.879903e+04	6.879903e+04
1.833333e+00	2.000000e+00	5.618887e+05	7.134485e+04	7.134485e+04
2.000000e+00	2.166667e+00	4.194736e+05	6.177485e+04	6.177485e+04
2.166667e+00	2.333333e+00	2.646402e+05	4.777060e+04	4.777060e+04
2.333333e+00	2.500000e+00	3.192378e+05	5.394757e+04	5.394757e+04
# END HISTO1D

