# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H1_inter_C1e
Path=/res/oxford_combined_rw2/histo_pt_H1_inter_C1e
Title=pt_H1_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.932080e+02	1.401767e+02	1.401767e+02
3.000000e+01	6.000000e+01	1.181188e+03	2.449298e+02	2.449298e+02
6.000000e+01	9.000000e+01	2.784676e+03	5.429275e+02	5.429275e+02
9.000000e+01	1.200000e+02	5.233907e+03	5.129112e+02	5.129112e+02
1.200000e+02	1.500000e+02	7.821550e+03	6.225675e+02	6.225675e+02
1.500000e+02	1.800000e+02	1.213004e+04	7.752567e+02	7.752567e+02
1.800000e+02	2.100000e+02	1.664645e+04	9.119854e+02	9.119854e+02
2.100000e+02	2.400000e+02	9.499220e+03	6.811384e+02	6.811384e+02
2.400000e+02	2.700000e+02	4.558593e+03	4.742462e+02	4.742462e+02
2.700000e+02	3.000000e+02	1.760815e+03	2.906694e+02	2.906694e+02
3.000000e+02	3.300000e+02	1.244760e+03	2.485685e+02	2.485685e+02
3.300000e+02	3.600000e+02	1.262467e+03	2.538740e+02	2.538740e+02
3.600000e+02	3.900000e+02	5.068020e+02	1.589583e+02	1.589583e+02
3.900000e+02	4.200000e+02	2.911846e+02	1.186351e+02	1.186351e+02
4.200000e+02	4.500000e+02	1.249204e+02	7.524136e+01	7.524136e+01
4.500000e+02	4.800000e+02	6.814197e+01	5.340543e+01	5.340543e+01
4.800000e+02	5.100000e+02	3.701417e+02	1.398694e+02	1.398694e+02
5.100000e+02	5.400000e+02	1.209217e+02	7.514599e+01	7.514599e+01
5.400000e+02	5.700000e+02	1.095729e+02	7.485920e+01	7.485920e+01
5.700000e+02	6.000000e+02	3.806370e+00	3.786840e+00	3.786840e+00
6.000000e+02	6.300000e+02	5.288130e+01	5.286568e+01	5.286568e+01
6.300000e+02	6.600000e+02	1.133167e+02	7.495492e+01	7.495492e+01
6.600000e+02	6.900000e+02	5.666813e+01	5.300113e+01	5.300113e+01
6.900000e+02	7.200000e+02	3.794647e+00	3.786834e+00	3.786834e+00
7.200000e+02	7.500000e+02	3.786830e+00	3.786830e+00	3.786830e+00
7.500000e+02	7.800000e+02	7.816193e-03	5.526886e-03	5.526886e-03
7.800000e+02	8.100000e+02	3.908097e-03	3.908098e-03	3.908098e-03
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	3.908097e-03	3.908098e-03	3.908098e-03
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

