# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_largeR_res_C1e
Path=/res/oxford_combined_rw2/histo_pt_largeR_res_C1e
Title=pt_largeR_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	1.174310e+04	7.574000e+02	7.574000e+02
2.100000e+02	2.400000e+02	2.947852e+04	1.212141e+03	1.212141e+03
2.400000e+02	2.700000e+02	2.013640e+04	9.998243e+02	9.998243e+02
2.700000e+02	3.000000e+02	1.301805e+04	7.994285e+02	7.994285e+02
3.000000e+02	3.300000e+02	1.075098e+04	7.304231e+02	7.304231e+02
3.300000e+02	3.600000e+02	7.070617e+03	5.946228e+02	5.946228e+02
3.600000e+02	3.900000e+02	5.086780e+03	5.026847e+02	5.026847e+02
3.900000e+02	4.200000e+02	3.093239e+03	3.896044e+02	3.896044e+02
4.200000e+02	4.500000e+02	1.726902e+03	2.908022e+02	2.908022e+02
4.500000e+02	4.800000e+02	1.188329e+03	2.429931e+02	2.429931e+02
4.800000e+02	5.100000e+02	6.275267e+02	1.757849e+02	1.757849e+02
5.100000e+02	5.400000e+02	5.750703e+02	1.677009e+02	1.677009e+02
5.400000e+02	5.700000e+02	1.187462e+02	7.505058e+01	7.505058e+01
5.700000e+02	6.000000e+02	8.528110e+00	5.355823e+00	5.355823e+00
6.000000e+02	6.300000e+02	5.343653e+01	5.286570e+01	5.286570e+01
6.300000e+02	6.600000e+02	2.618425e-01	3.198916e-02	3.198916e-02
6.600000e+02	6.900000e+02	7.729983e+00	5.355443e+00	5.355443e+00
6.900000e+02	7.200000e+02	3.880623e+00	3.786878e+00	3.786878e+00
7.200000e+02	7.500000e+02	3.841543e+00	3.786857e+00	3.786857e+00
7.500000e+02	7.800000e+02	7.903703e-02	3.544449e-02	3.544449e-02
7.800000e+02	8.100000e+02	7.816193e-03	5.526886e-03	5.526886e-03
8.100000e+02	8.400000e+02	7.816193e-03	5.526886e-03	5.526886e-03
8.400000e+02	8.700000e+02	3.908097e-03	3.908098e-03	3.908098e-03
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

