# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_leadSJ_fj_inter_C2
Path=/res/oxford_combined_rw2/histo_eta_leadSJ_fj_inter_C2
Title=eta_leadSJ_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	3.332895e-03	3.634743e-04	3.634743e-04
-2.000000e+00	-1.600000e+00	1.982966e-02	8.859176e-04	8.859176e-04
-1.600000e+00	-1.200000e+00	3.949182e-02	1.249147e-03	1.249147e-03
-1.200000e+00	-8.000000e-01	5.502175e-02	1.475528e-03	1.475528e-03
-8.000000e-01	-4.000000e-01	6.903495e-02	1.652804e-03	1.652804e-03
-4.000000e-01	7.771561e-16	7.604925e-02	1.734672e-03	1.734672e-03
7.771561e-16	4.000000e-01	8.032120e-02	1.783580e-03	1.783580e-03
4.000000e-01	8.000000e-01	6.905862e-02	1.652821e-03	1.652821e-03
8.000000e-01	1.200000e+00	5.649830e-02	1.495565e-03	1.495565e-03
1.200000e+00	1.600000e+00	3.569285e-02	1.187552e-03	1.187552e-03
1.600000e+00	2.000000e+00	1.911581e-02	8.694326e-04	8.694326e-04
2.000000e+00	2.400000e+00	3.267835e-03	3.591217e-04	3.591217e-04
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

