# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_largeR_inter_C1d
Path=/res/oxford_combined_rw2/histo_pt_largeR_inter_C1d
Title=pt_largeR_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	2.201735e-02	1.695902e-04	1.695902e-04
2.100000e+02	2.400000e+02	5.631113e-02	2.712159e-04	2.712159e-04
2.400000e+02	2.700000e+02	4.108250e-02	2.316576e-04	2.316576e-04
2.700000e+02	3.000000e+02	2.681793e-02	1.871676e-04	1.871676e-04
3.000000e+02	3.300000e+02	1.667074e-02	1.475692e-04	1.475692e-04
3.300000e+02	3.600000e+02	1.068145e-02	1.181227e-04	1.181227e-04
3.600000e+02	3.900000e+02	6.566670e-03	9.261700e-05	9.261700e-05
3.900000e+02	4.200000e+02	4.596800e-03	7.749004e-05	7.749004e-05
4.200000e+02	4.500000e+02	3.162504e-03	6.427375e-05	6.427375e-05
4.500000e+02	4.800000e+02	2.206307e-03	5.368477e-05	5.368477e-05
4.800000e+02	5.100000e+02	1.653751e-03	4.647861e-05	4.647861e-05
5.100000e+02	5.400000e+02	1.195246e-03	3.951363e-05	3.951363e-05
5.400000e+02	5.700000e+02	9.522780e-04	3.526957e-05	3.526957e-05
5.700000e+02	6.000000e+02	7.341293e-04	3.096738e-05	3.096738e-05
6.000000e+02	6.300000e+02	6.479150e-04	2.909224e-05	2.909224e-05
6.300000e+02	6.600000e+02	5.107553e-04	2.583001e-05	2.583001e-05
6.600000e+02	6.900000e+02	3.931903e-04	2.266311e-05	2.266311e-05
6.900000e+02	7.200000e+02	3.331014e-04	2.085962e-05	2.085962e-05
7.200000e+02	7.500000e+02	2.612560e-04	1.847359e-05	1.847359e-05
7.500000e+02	7.800000e+02	2.285990e-04	1.728046e-05	1.728046e-05
7.800000e+02	8.100000e+02	1.972483e-04	1.605184e-05	1.605184e-05
8.100000e+02	8.400000e+02	1.593662e-04	1.442833e-05	1.442833e-05
8.400000e+02	8.700000e+02	1.097275e-04	1.197225e-05	1.197225e-05
8.700000e+02	9.000000e+02	9.405217e-05	1.108415e-05	1.108415e-05
# END HISTO1D

